Year,Boat_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2022,1,51,161,31,28,34,5.6,36.6,-,1:31.827,1:13.102
2022,2,51,145,14,19,28,4.52,22.8,-,1:32.375,1:13.562
2022,3,51,156,20,26,29,4.89,29.5,-,1:32.020,1:12.649
2022,4,51,134,16,27,21,4.84,32.1,-,1:31.707,1:13.061
2022,5,47,138,39,26,20,6.14,47.1,-,1:31.245,1:12.314
2022,6,51,153,24,28,22,5.24,34,-,1:31.361,1:12.716
2022,7,51,168,32,32,20,5.37,38.1,-,1:31.561,1:13.036
2022,8,48,135,23,29,28,5.63,38.5,-,1:31.608,1:12.971
2022,9,47,153,23,30,25,5.36,34.6,-,1:31.784,1:13.029
2022,10,51,144,21,20,28,4.97,28.5,-,1:32.409,1:12.802
2022,11,51,125,28,24,18,5.75,41.6,-,1:30.495,1:13.598
2022,12,51,164,25,36,28,5.49,37.2,-,1:31.436,1:12.886
2022,13,51,158,32,25,19,5.09,36.1,-,1:30.759,1:11.955
2022,14,51,159,16,25,29,4.79,25.8,-,1:32.040,1:13.714
2022,15,51,168,25,25,29,4.97,29.8,-,1:31.029,1:12.842
2022,16,51,162,22,33,25,5.1,34,-,1:32.076,1:13.031
2022,17,51,137,23,20,29,5.4,31.4,-,1:31.366,1:12.637
2022,18,51,137,35,21,24,5.91,40.9,-,1:30.852,1:12.550
2022,19,51,150,24,25,26,5.02,32.7,-,1:30.887,1:13.062
2022,20,51,150,27,23,27,5.2,33.3,-,1:31.331,1:12.393
2022,21,51,134,32,24,21,5.65,41.8,-,1:30.876,1:12.849
2022,22,51,160,15,27,31,4.73,26.3,-,1:32.526,1:14.022
2022,23,51,129,14,11,21,4.21,19.4,-,1:33.330,1:12.617
2022,24,50,164,28,27,35,5.24,33.5,-,1:31.059,1:12.256
2022,25,47,137,24,19,25,4.99,31.4,-,1:30.702,1:13.479
2022,26,51,114,25,25,19,5.78,43.9,-,1:30.881,1:13.301
2022,27,50,143,38,28,18,6.05,46.2,-,1:29.966,1:12.367
2022,28,51,131,28,23,23,5.5,38.9,-,1:31.010,1:12.534
2022,29,51,153,29,20,36,5.39,32,-,1:31.211,1:12.762
2022,30,50,154,25,32,27,5.36,37,-,1:30.748,1:13.154
2022,31,51,147,31,25,29,5.62,38.1,-,1:31.907,1:12.949
2022,32,51,145,23,31,24,5.31,37.2,-,1:31.104,1:13.035
2022,33,47,154,22,18,33,4.8,26,-,1:30.883,1:12.830
2022,34,46,113,11,13,17,4.18,21.2,-,1:31.865,1:13.674
2022,35,51,156,28,26,30,5.26,34.6,-,1:30.134,1:13.240
2022,36,51,132,27,17,19,5.27,33.3,-,1:32.164,1:13.556
2022,37,49,161,33,31,28,5.59,39.8,-,1:31.146,1:12.602
2022,38,51,161,20,28,33,5.07,29.8,-,1:32.492,1:13.158
2022,39,51,111,22,22,17,5.41,39.6,-,1:30.906,1:12.210
2022,40,51,107,13,15,17,4.47,26.2,-,1:31.548,1:12.999
2022,41,51,128,36,19,19,6.16,43,-,1:30.874,1:12.620
2022,42,51,147,36,22,29,5.96,39.5,-,1:31.796,1:13.154
2022,43,51,127,28,30,12,5.82,45.7,-,1:30.203,1:12.971
2022,44,51,113,22,19,23,5.53,36.3,-,1:30.515,1:12.894
2022,45,51,128,34,21,18,5.87,43,-,1:30.287,1:11.991
2022,46,50,156,20,20,25,4.63,25.6,-,1:32.068,1:13.480
2022,47,50,122,28,27,23,6.19,45.1,-,1:30.954,1:12.004
2022,48,44,128,10,21,15,4.18,24.2,-,1:31.513,1:14.104
2022,49,51,138,16,12,28,4.42,20.3,-,1:31.948,1:11.750
2022,50,50,86,5,14,13,4.16,22.1,-,1:32.591,1:13.862
2022,51,51,146,31,24,23,5.51,37.7,-,1:30.388,1:12.316
2022,52,44,112,11,12,15,4.05,20.5,-,1:30.657,1:12.662
2022,53,51,142,17,25,32,5.09,29.6,-,1:30.669,1:13.132
2022,54,51,134,15,14,20,4.34,21.6,-,1:32.936,1:12.840
2022,55,51,113,28,23,15,5.86,45.1,-,1:30.013,1:12.991
2022,56,46,94,8,11,10,3.95,20.2,-,1:31.771,1:13.109
2022,57,39,115,7,19,19,4.28,22.6,-,1:31.133,1:13.850
2022,58,46,103,9,13,13,3.92,21.4,-,1:33.784,1:13.565
2022,59,49,140,13,22,24,4.59,25,-,1:32.106,1:13.081
2022,60,51,166,28,28,25,5.13,33.7,-,1:29.993,1:12.845
2022,61,51,139,13,26,17,4.47,28.1,-,1:31.643,1:11.826
2022,62,50,178,27,21,33,4.79,27,-,1:31.178,1:12.608
2022,63,51,148,20,23,31,4.99,29.1,-,1:33.504,1:13.267
2022,64,51,165,29,25,34,5.26,32.7,-,1:30.518,1:12.908
2022,65,51,67,13,12,9,5.13,37.3,-,1:31.388,1:12.576
2022,66,50,141,28,27,17,5.36,39,-,1:31.903,1:13.022
2022,67,50,144,39,15,28,5.69,37.5,-,1:32.167,1:11.941
2022,68,50,134,40,23,15,6.22,47,-,1:29.512,1:12.302
2022,69,51,160,24,24,23,4.88,30,-,1:31.828,1:12.440
2022,70,49,136,23,27,21,5.31,36.8,-,1:32.071,1:13.650
2022,71,50,164,23,34,24,5.05,34.8,-,1:29.985,1:12.721
2022,72,51,145,37,14,23,5.43,35.2,-,1:29.931,1:12.694
2022,73,50,125,3,25,22,4.19,22.4,-,1:33.736,1:14.689
2022,74,51,157,30,29,29,5.48,37.6,-,1:30.962,1:13.291
2022,75,47,125,33,23,22,6.1,44.8,-,1:29.615,1:12.345
2022,76,51,74,19,15,9,6.11,45.9,-,1:30.126,1:12.359
2022,77,51,125,16,24,21,5.01,32,-,1:31.475,1:12.811
2022,78,51,150,19,25,35,5.05,29.3,-,1:30.925,1:13.043
2022,79,48,156,29,26,28,5.28,35.3,-,1:31.767,1:12.091
2022,80,51,153,19,27,25,4.78,30.1,-,1:30.286,1:13.413
2022,81,51,129,14,23,16,4.44,28.7,-,1:33.065,1:13.892
2022,82,48,159,20,32,26,5,32.7,-,1:31.042,1:13.035
2022,83,51,115,19,28,23,5.81,40.9,-,1:31.988,1:12.698
2022,84,47,156,24,23,24,4.86,30.1,-,1:30.768,1:13.149
2022,85,51,134,16,24,20,4.78,29.9,-,1:31.640,1:12.816
2022,86,48,93,18,20,16,5.65,40.9,-,1:29.785,1:12.536
2022,87,51,159,32,27,27,5.46,37.1,-,1:31.103,1:12.889
2022,88,46,91,4,11,15,3.84,16.5,-,1:30.202,1:13.964
2022,89,50,152,34,28,25,5.63,40.8,-,1:31.192,1:13.072
2022,90,51,152,38,25,19,5.76,41.4,-,1:32.353,1:12.180
