연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2016,48,2,01R,⑥ 이승일,① 김민준,② 김명진,(6) 1.8,"(6) 1.0, (1) 1.8",(6-1) 2.7,(1-6) 1.5,(1-2-6) 1.6,-,-,
2016,48,2,02R,⑤ 김종민,① 정종훈,④ 이동준,(5) 1.7,"(5) 1.1, (1) 1.7",(5-1) 4.3,(1-5) 2.7,(1-4-5) 16.7,-,-,
2016,48,2,03R,④ 김종희,③ 이주영,① 이시원,(4) 9.9,"(4) 2.5, (3) 2.2",(4-3) 78.9,(3-4) 21.2,(1-3-4) 6.6,-,-,
2016,48,2,04R,① 문주엽,② 사재준,③ 윤영근,(1) 1.3,"(1) 1.2, (2) 2.0",(1-2) 3.4,(1-2) 3.0,(1-2-3) 2.4,-,-,
2016,48,2,05R,① 민영건,⑥ 김현철,② 박민수,(1) 1.2,"(1) 1.0, (6) 2.9",(1-6) 3.4,(1-6) 3.0,(1-2-6) 2.5,-,-,
2016,48,2,06R,② 원용관,⑤ 유석현,③ 정주현,(2) 1.6,"(2) 1.3, (5) 5.1",(2-5) 10.0,(2-5) 8.8,(2-3-5) 6.1,-,-,
2016,48,2,07R,⑤ 곽현성,① 신현경,⑥ 한 진,(5) 3.3,"(5) 1.3, (1) 1.3",(5-1) 5.9,(1-5) 2.8,(1-5-6) 13.1,-,-,
2016,48,2,08R,① 김민천,② 장영태,⑤ 손제민,(1) 1.1,"(1) 1.1, (2) 1.7",(1-2) 2.0,(1-2) 2.0,(1-2-5) 1.5,-,-,
2016,48,2,09R,② 김인혜,① 장수영,⑥ 이시원,(2) 1.4,"(2) 1.0, (1) 1.3",(2-1) 2.4,(1-2) 1.3,(1-2-6) 2.2,-,-,
2016,48,2,10R,① 황이태,④ 이현재,② 김영욱,(1) 1.6,"(1) 1.4, (4) 2.0",(1-4) 5.4,(1-4) 3.5,(1-2-4) 2.4,-,-,
2016,48,2,11R,① 양원준,④ 김승택,⑤ 박상현,(1) 1.7,"(1) 1.1, (4) 4.2",(1-4) 16.4,(1-4) 11.3,(1-4-5) 17.1,-,-,
2016,48,2,12R,① 김세원,③ 김효년,⑤ 김지현,(1) 1.3,"(1) 1.3, (3) 1.3",(1-3) 1.9,(1-3) 1.4,(1-3-5) 3.9,-,-,
2016,48,2,13R,① 이태희,③ 이창규,⑤ 박영수,(1) 1.2,"(1) 1.1, (3) 2.4",(1-3) 3.6,(1-3) 2.8,(1-3-5) 5.8,-,-,
2016,48,2,14R,① 곽현성,⑤ 문주엽,③ 김태규,(1) 1.3,"(1) 1.1, (5) 2.1",(1-5) 3.0,(1-5) 2.6,(1-3-5) 11.1,-,-,
2016,48,2,15R,① 김종민,④ 이승일,② 윤동오 ③ 서 휘,(1) 2.1,"(1) 1.1, (4) 1.0",(1-4) 2.5,(1-4) 1.4,"(1-2-4) 2.1  
									
										(1-3-4) 1.0",-,-,
2016,48,2,16R,① 김현철,③ 배혜민,⑥ 손제민,(1) 1.4,"(1) 1.2, (3) 2.6",(1-3) 5.2,(1-3) 4.4,(1-3-6) 6.0,-,-,
2016,48,1,01R,③ 김민준,② 김효년,④ 김승택,(3) 11.9,"(3) 1.6, (2) 1.0",(3-2) 11.4,(2-3) 1.8,(2-3-4) 2.6,-,-,
2016,48,1,02R,④ 김영욱,② 정종훈,① 정용진,(4) 2.0,"(4) 1.3, (2) 1.4",(4-2) 5.4,(2-4) 2.7,(1-2-4) 1.7,-,-,
