연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2017,48,2,01R,① 김현철,③ 이경섭,④ 문주엽,(1) 1.2,"(1) 1.1, (3) 2.8",(1-3) 3.1,(1-3) 3.0,(1-3-4) 3.4,-,(1-3-4) 8.0,
2017,48,2,02R,④ 이동준,⑤ 송효석,② 박준현,(4) 8.8,"(4) 2.3, (5) 3.0",(4-5) 19.5,(4-5) 11.8,(4-5-2) 3.7,-,(4-5-2) 48.9,
2017,48,2,03R,② 박민수,③ 손지영,④ 원용관,(2) 2.3,"(2) 1.8, (3) 1.1",(2-3) 4.9,(2-3) 1.9,(2-3-4) 3.0,-,(2-3-4) 9.3,
2017,48,2,04R,③ 강지환,⑤ 김기한,② 권혁민,(3) 1.3,"(3) 1.0, (5) 2.6",(3-5) 3.8,(3-5) 3.1,(3-5-2) 7.9,-,(3-5-2) 26.1,
2017,48,2,05R,② 사재준,① 한 진,⑤ 이지수,(2) 2.2,"(2) 1.7, (1) 2.4",(2-1) 9.1,(2-1) 4.9,(2-1-5) 5.3,-,(2-1-5) 21.0,
2017,48,2,06R,④ 구본수,① 박상현,③ 김강현,(4) 1.7,"(4) 1.3, (1) 1.6",(4-1) 5.0,(4-1) 2.4,(4-1-3) 3.9,-,(4-1-3) 12.1,
2017,48,2,07R,③ 민영건,⑥ 김완석,② 나병창,(3) 2.8,"(3) 1.4, (6) 2.5",(3-6) 4.6,(3-6) 2.4,(3-6-2) 2.9,-,(3-6-2) 11.5,
2017,48,2,08R,③ 안지민,② 유석현,④ 김대선,(3) 1.7,"(3) 1.1, (2) 2.9",(3-2) 7.6,(3-2) 4.6,(3-2-4) 5.4,-,(3-2-4) 18.7,
2017,48,2,09R,① 정인교,② 이창규,③ 장수영,(1) 1.3,"(1) 1.2, (2) 1.2",(1-2) 2.2,(1-2) 1.9,(1-2-3) 1.7,-,(1-2-3) 3.2,
2017,48,2,10R,① 오세준,③ 김도휘,② 경상수,(1) 1.4,"(1) 1.2, (3) 1.5",(1-3) 3.2,(1-3) 2.5,(1-3-2) 2.5,-,(1-3-2) 6.5,
2017,48,2,11R,① 강지환,③ 박원규,④ 이태희,(1) 3.3,"(1) 1.5, (3) 1.7",(1-3) 10.9,(1-3) 6.4,(1-3-4) 5.1,-,(1-3-4) 19.6,
2017,48,2,12R,② 권일혁,④ 구본선,① 정장훈,(2) 1.8,"(2) 1.5, (4) 1.5",(2-4) 3.9,(2-4) 2.3,(2-4-1) 8.4,-,(2-4-1) 29.1,
2017,48,2,13R,④ 김기한,③ 이지수,② 구본수,(4) 17.3,"(4) 11.4, (3) 1.4",(4-3) 54.6,(4-3) 9.5,(4-3-2) 10.8,-,(4-3-2) 211.8,
2017,48,2,14R,④ 이용세,① 김영민,② 김재윤,(4) 2.3,"(4) 1.4, (1) 1.1",(4-1) 4.2,(4-1) 1.9,(4-1-2) 5.1,-,(4-1-2) 19.4,
2017,48,2,15R,① 박설희,⑥ 정종훈,② 서화모,(1) 1.2,"(1) 1.0, (6) 8.1",(1-6) 14.4,(1-6) 11.0,(1-6-2) 6.4,-,(1-6-2) 48.3,
2017,48,2,16R,④ 신동길,① 김민준,⑥ 이동준,(4) 2.9,"(4) 1.3, (1) 1.1",(4-1) 4.3,(4-1) 1.6,(4-1-6) 6.5,-,(4-1-6) 24.6,
2017,48,1,01R,② 최재원,⑥ 손지영,③ 박정아,(2) 2.0,"(2) 1.0, (6) 2.5",(2-6) 6.9,(2-6) 4.5,(2-6-3) 4.3,-,(2-6-3) 15.2,
2017,48,1,02R,② 박설희,③ 박준현,⑤ 강지환,(2) 1.0,"(2) 1.0, (3) 5.8",(2-3) 7.9,(2-3) 7.4,(2-3-5) 4.9,-,(2-3-5) 15.3,
2017,48,1,03R,② 김영민,④ 김정구,③ 구본선,(2) 7.1,"(2) 3.4, (4) 2.2",(2-4) 30.0,(2-4) 18.2,(2-4-3) 11.7,-,(2-4-3) 207.0,
2017,48,1,04R,① 장수영,④ 나병창,③ 문주엽,(1) 3.1,"(1) 1.7, (4) 4.1",(1-4) 18.1,(1-4) 12.8,(1-4-3) 11.0,-,(1-4-3) 69.4,
2017,48,1,05R,① 김대선,③ 김현철,④ 정인교,(1) 1.5,"(1) 1.4, (3) 1.8",(1-3) 3.8,(1-3) 1.9,(1-3-4) 3.2,-,(1-3-4) 7.7,
2017,48,1,06R,④ 이지수,② 민영건,③ 김민준,(4) 4.7,"(4) 2.3, (2) 3.3",(4-2) 22.6,(4-2) 10.9,(4-2-3) 8.6,-,(4-2-3) 94.6,
2017,48,1,07R,② 이태희,③ 송효석,⑤ 이경섭,(2) 1.0,"(2) 1.0, (3) 1.5",(2-3) 1.4,(2-3) 1.3,(2-3-5) 1.5,-,(2-3-5) 2.1,①
2017,48,1,08R,④ 최재원,② 김명진,③ 문안나,(4) 4.2,"(4) 1.1, (2) 9.9",(4-2) 34.2,(4-2) 25.2,(4-2-3) 31.1,-,(4-2-3) 141.9,
2017,48,1,09R,④ 박준현,② 김민천,⑤ 사재준,(4) 21.4,"(4) 4.8, (2) 1.6",(4-2) 57.1,(4-2) 17.1,(4-2-5) 10.3,-,(4-2-5) 180.4,
2017,48,1,10R,② 손근성,③ 윤영근,⑤ 박정아,(2) 1.2,"(2) 1.0, (3) 3.8",(2-3) 6.9,(2-3) 6.0,(2-3-5) 5.0,-,(2-3-5) 12.3,
2017,48,1,11R,④ 박설희,⑤ 장수영,⑥ 경상수,(4) 1.1,"(4) 1.2, (5) 1.7",(4-5) 2.4,(4-5) 2.2,(4-5-6) 3.7,-,(4-5-6) 6.4,
2017,48,1,12R,① 구현구,③ 나병창,② 정주현,(1) 5.8,"(1) 2.1, (3) 1.8",(1-3) 17.1,(1-3) 7.8,(1-3-2) 10.0,-,(1-3-2) 77.3,
2017,48,1,13R,② 한 진,④ 김현철,① 최진혁,(2) 4.7,"(2) 1.5, (4) 1.4",(2-4) 7.1,(2-4) 2.8,(2-4-1) 5.9,-,(2-4-1) 31.0,
2017,48,1,14R,④ 박원규,② 이경섭,⑤ 민영건,(4) 2.4,"(4) 1.9, (2) 1.4",(4-2) 6.3,(4-2) 3.4,(4-2-5) 3.1,-,(4-2-5) 10.7,
2017,48,1,15R,① 안지민,③ 이창규,⑤ 이태희,(1) 1.5,"(1) 1.0, (3) 7.8",(1-3) 12.8,(1-3) 10.5,(1-3-5) 5.6,-,(1-3-5) 26.7,
2017,48,1,16R,① 이용세,③ 이동준,② 김완석,(1) 3.8,"(1) 1.9, (3) 11.1",(1-3) 48.3,(1-3) 37.5,(1-3-2) 9.3,-,(1-3-2) 145.5,
2017,47,2,01R,① 민영건,③ 김민천,⑥ 한성근,(1) 1.3,"(1) 1.0, (3) 1.5",(1-3) 1.9,(1-3) 1.5,(1-3-6) 2.4,-,(1-3-6) 3.6,
2017,47,2,02R,④ 최광성,⑤ 박설희,① 김인혜,(4) 1.0,"(4) 1.0, (5) 8.8",(4-5) 4.5,(4-5) 4.5,(4-5-1) 10.2,-,(4-5-1) 21.4,
