연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2023,52,2,01R,⑤ 김희용,② 손제민,① 정주현,(5) 11.9,"(5) 4.9, (2) 1.0",(5-2) 35.5,(5-2) 11.7,(5-2-1) 19.5,(5-2-1) 84.1,(5-2-1) 161.8,
2023,52,2,02R,② 류석현,④ 이태희,⑤ 전정환,(2) 2.0,"(2) 1.8, (4) 3.5",(2-4) 8.7,(2-4) 6.3,(2-4-5) 10.9,(2-4-5) 16.3,(2-4-5) 15.8,
2023,52,2,03R,② 김민천,① 오상현,③ 강지환,(2) 1.4,"(2) 1.1, (1) 2.1",(2-1) 4.0,(2-1) 2.1,(2-1-3) 3.3,(2-1-3) 5.6,(2-1-3) 10.3,
2023,52,2,04R,⑤ 김민준,⑥ 정승호,② 임태경,(5) 2.5,"(5) 1.4, (6) 16.8",(5-6) 21.6,(5-6) 24.0,(5-6-2) 18.8,(5-6-2) 34.5,(5-6-2) 88.1,
2023,52,2,05R,② 정경호,③ 최재원,⑥ 김완석,(2) 2.4,"(2) 1.6, (3) 3.7",(2-3) 7.2,(2-3) 7.0,(2-3-6) 4.1,(2-3-6) 6.7,(2-3-6) 12.4,
2023,52,2,06R,⑥ 어선규,④ 배혜민,③ 박민성,(6) 4.1,"(6) 2.1, (4) 3.1",(6-4) 32.2,(6-4) 20.9,(6-4-3) 38.6,(6-4-3) 118.6,(6-4-3) 218.7,
2023,52,2,07R,② 김도휘,⑤ 정용진,⑥ 권일혁,(2) 1.1,"(2) 1.0, (5) 3.3",(2-5) 5.1,(2-5) 4.8,(2-5-6) 27.3,(2-5-6) 29.3,(2-5-6) 39.7,
2023,52,2,08R,① 박종덕,③ 김희용,② 한성근,(1) 2.1,"(1) 1.2, (3) 1.7",(1-3) 3.9,(1-3) 2.2,(1-3-2) 1.7,(1-3-2) 3.0,(1-3-2) 6.7,
2023,52,2,09R,① 김태규,② 민영건,⑤ 김보경,(1) 4.1,"(1) 3.3, (2) 2.3",(1-2) 15.8,(1-2) 8.9,(1-2-5) 44.6,(1-2-5) 121.1,(1-2-5) 166.4,
2023,52,2,10R,① 김현철,⑤ 정민수,② 조승민,(1) 1.2,"(1) 1.1, (5) 4.3",(1-5) 5.8,(1-5) 4.7,(1-5-2) 8.4,(1-5-2) 8.8,(1-5-2) 26.4,
2023,52,2,11R,② 이태희,③ 신현경,④ 홍진수,(2) 3.7,"(2) 1.5, (3) 3.4",(2-3) 24.6,(2-3) 19.4,(2-3-4) 6.7,(2-3-4) 17.9,(2-3-4) 63.5,
2023,52,2,12R,① 정승호,⑥ 박원규,② 오세준,(1) 1.7,"(1) 1.2, (6) 1.5",(1-6) 6.1,(1-6) 3.4,(1-6-2) 4.0,(1-6-2) 6.1,(1-6-2) 17.1,
2023,52,2,13R,② 어선규,③ 전정환,⑤ 김창규,(2) 1.1,"(2) 1.0, (3) 2.7",(2-3) 4.2,(2-3) 3.9,(2-3-5) 5.5,(2-3-5) 6.0,(2-3-5) 11.1,①
2023,52,2,14R,② 김완석,① 정용진,④ 사재준,(2) 1.4,"(2) 1.0, (1) 1.8",(2-1) 2.3,(2-1) 1.6,(2-1-4) 1.8,(2-1-4) 2.5,(2-1-4) 3.7,
2023,52,2,15R,② 김민준,③ 김지현,① 기광서,(2) 1.2,"(2) 1.0, (3) 3.0",(2-3) 3.0,(2-3) 3.0,(2-3-1) 2.1,(2-3-1) 2.7,(2-3-1) 6.1,
2023,52,2,16R,① 나병창,⑥ 길현태,② 박준호,(1) 7.1,"(1) 2.7, (6) 8.3",(1-6) 91.0,(1-6) 78.0,(1-6-2) 102.2,(1-6-2) 195.8,(1-6-2) 705.6,
2023,52,2,17R,① 권일혁,④ 김인혜,② 김국흠,(1) 2.0,"(1) 1.4, (4) 1.3",(1-4) 4.5,(1-4) 1.9,(1-4-2) 8.6,(1-4-2) 19.5,(1-4-2) 29.7,
2023,52,1,01R,① 김창규,② 류해광,④ 정승호,(1) 1.7,"(1) 1.2, (2) 1.4",(1-2) 2.4,(1-2) 1.8,(1-2-4) 4.9,(1-2-4) 8.2,(1-2-4) 10.0,
2023,52,1,02R,② 김희용,⑤ 문안나,① 박정아,(2) 3.5,"(2) 1.5, (5) 2.3",(2-5) 16.9,(2-5) 12.1,(2-5-1) 2.7,(2-5-1) 12.4,(2-5-1) 48.3,
2023,52,1,03R,③ 김지영,① 박준호,④ 나종호,(3) 2.0,"(3) 1.3, (1) 1.7",(3-1) 9.2,(3-1) 5.2,(3-1-4) 6.0,(3-1-4) 11.2,(3-1-4) 27.6,
2023,52,1,04R,④ 어선규,③ 손제민,② 나병창,(4) 1.7,"(4) 1.4, (3) 2.3",(4-3) 6.2,(4-3) 3.0,(4-3-2) 10.3,(4-3-2) 22.4,(4-3-2) 45.3,
2023,52,1,05R,① 최영재,⑤ 임태경,③ 이 인,(1) 1.2,"(1) 1.1, (5) 8.1",(1-5) 13.7,(1-5) 14.2,(1-5-3) 41.3,(1-5-3) 56.0,(1-5-3) 116.5,
2023,52,1,06R,③ 송효석,② 장영태,④ 정경호,(3) 24.8,"(3) 4.1, (2) 1.0",(3-2) 64.3,(3-2) 3.8,(3-2-4) 3.8,(3-2-4) 197.2,(3-2-4) 188.9,
2023,52,1,07R,① 정민수,⑥ 김민준,③ 조승민,(1) 2.2,"(1) 1.4, (6) 1.6",(1-6) 6.3,(1-6) 2.7,(1-6-3) 12.1,(1-6-3) 22.3,(1-6-3) 31.3,
2023,52,1,08R,③ 김도휘,① 황만주,⑤ 류해광,(3) 1.3,"(3) 1.1, (1) 2.4",(3-1) 4.3,(3-1) 3.2,(3-1-5) 3.8,(3-1-5) 4.3,(3-1-5) 9.3,
2023,52,1,09R,② 정승호,① 이태희,⑥ 민영건,(2) 4.5,"(2) 2.0, (1) 1.2",(2-1) 9.1,(2-1) 3.0,(2-1-6) 11.8,(2-1-6) 35.1,(2-1-6) 54.1,
2023,52,1,10R,① 이택근,② 문안나,③ 김민천,(1) 1.5,"(1) 1.2, (2) 1.3",(1-2) 2.4,(1-2) 1.5,(1-2-3) 1.8,(1-2-3) 3.2,(1-2-3) 4.7,
2023,52,1,11R,⑤ 김지현,② 최재원,④ 길현태,(5) 5.4,"(5) 2.3, (2) 1.8",(5-2) 13.7,(5-2) 6.3,(5-2-4) 9.2,(5-2-4) 42.1,(5-2-4) 60.0,
2023,52,1,12R,④ 김희용,⑤ 최광성,③ 임태경,(4) 9.1,"(4) 2.0, (5) 2.9",(4-5) 24.2,(4-5) 15.7,(4-5-3) 7.4,(4-5-3) 33.4,(4-5-3) 75.9,
2023,52,1,13R,④ 김완석,⑤ 송효석,③ 오세준,(4) 1.1,"(4) 1.0, (5) 3.8",(4-5) 6.5,(4-5) 7.7,(4-5-3) 8.7,(4-5-3) 11.4,(4-5-3) 29.5,
2023,52,1,14R,② 기광서,⑥ 반혜진,① 박설희,(2) 1.5,"(2) 1.1, (6) 10.4",(2-6) 17.6,(2-6) 16.7,(2-6-1) 9.2,(2-6-1) 17.2,(2-6-1) 62.3,
2023,52,1,15R,① 박원규,③ 손유정,② 황이태,(1) 1.3,"(1) 1.1, (3) 2.2",(1-3) 3.9,(1-3) 3.2,(1-3-2) 4.1,(1-3-2) 4.8,(1-3-2) 11.7,
2023,52,1,16R,③ 어선규,② 심상철,⑤ 사재준,(3) 2.4,"(3) 1.5, (2) 1.2",(3-2) 5.8,(3-2) 2.2,(3-2-5) 5.1,(3-2-5) 11.1,(3-2-5) 16.9,
2023,52,1,17R,① 김민준,② 전정환,⑤ 홍진수,(1) 1.2,"(1) 1.0, (2) 1.8",(1-2) 1.8,(1-2) 2.1,(1-2-5) 3.4,(1-2-5) 3.2,(1-2-5) 6.2,
2023,51,2,01R,③ 김민길,① 이종인,④ 안지민,(3) 1.2,"(3) 1.1, (1) 2.1",(3-1) 4.8,(3-1) 3.3,(3-1-4) 1.9,(3-1-4) 2.7,(3-1-4) 7.1,
2023,51,2,02R,⑥ 김종민,② 김창규,④ 송효석,(6) 4.1,"(6) 1.6, (2) 1.2",(6-2) 8.6,(6-2) 3.4,(6-2-4) 15.6,(6-2-4) 53.6,(6-2-4) 61.5,
