Year,Motor_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2016,1,47,84,37,24,10,7.76,72.6,1:52.231,1:35.867,1:14.510
2016,2,39,55,5,6,9,4.07,20,1:53.554,1:42.911,1:15.243
2016,3,48,81,12,11,17,4.95,28.4,1:54.423,1:36.665,1:17.181
2016,4,47,80,25,19,11,6.63,55,1:53.304,1:35.197,1:15.114
2016,5,42,50,3,4,8,3.7,14,1:53.387,-,1:18.021
2016,6,48,80,11,13,14,4.79,30,1:53.325,1:40.526,1:15.217
2016,7,47,83,29,14,15,6.66,51.8,1:54.123,1:35.093,1:15.470
2016,8,48,84,14,16,20,5.75,35.7,1:52.429,1:38.648,1:15.188
2016,9,34,60,8,10,9,4.75,30,1:53.700,-,1:16.616
2016,10,48,80,14,13,18,5.46,33.8,1:52.340,1:38.527,1:15.453
2016,11,16,22,1,0,5,3.73,4.5,1:57.256,-,1:18.692
2016,12,42,61,6,9,6,4.39,24.6,1:53.575,1:36.428,1:17.260
2016,13,48,81,8,17,14,4.85,30.9,1:56.119,1:41.997,1:16.035
2016,14,42,56,5,5,10,4.07,17.9,1:52.887,1:42.432,1:16.656
2016,15,48,83,18,16,18,5.93,41,1:53.379,1:34.587,1:15.917
2016,16,48,75,3,15,18,4.67,24,1:54.640,1:36.118,1:14.729
2016,17,47,85,24,18,17,6.54,49.4,1:51.972,1:37.007,1:14.768
2016,18,40,61,3,9,14,4.43,19.7,1:55.881,1:40.026,1:17.350
2016,19,47,76,31,18,12,7.34,64.5,1:50.973,-,1:15.602
2016,20,5,10,0,0,2,2.5,0,1:56.868,,
2016,21,48,81,15,16,11,5.43,38.3,1:51.502,1:35.972,1:15.903
2016,22,42,53,1,7,6,3.55,15.1,1:55.944,1:38.079,1:17.983
2016,23,48,83,11,12,19,4.92,27.7,1:52.096,1:37.994,1:15.654
2016,24,48,83,15,12,8,5.04,32.5,1:50.997,1:36.965,1:14.930
2016,25,42,54,5,6,7,3.98,20.4,1:52.790,1:41.231,1:16.150
2016,26,48,83,9,17,18,5.25,31.3,1:53.777,-,1:15.731
2016,27,42,52,3,6,7,3.96,17.3,1:54.045,1:36.606,1:15.133
2016,28,9,6,0,1,0,3.33,16.7,1:56.761,-,1:20.429
2016,29,48,82,9,12,13,4.6,25.6,1:52.657,1:38.574,1:14.635
2016,30,48,62,5,9,7,4.44,22.6,1:53.025,1:35.182,1:17.987
2016,31,47,73,26,17,13,7.15,58.9,1:53.916,1:34.828,1:15.809
2016,32,48,86,18,12,13,5.52,34.9,1:51.798,1:36.086,1:16.642
2016,33,42,51,4,9,9,4.41,25.5,1:54.520,1:38.208,1:17.085
2016,34,48,67,11,12,10,4.97,34.3,1:53.606,-,1:15.996
2016,35,48,82,11,13,14,4.9,29.3,1:53.496,1:34.240,1:15.620
2016,36,42,49,0,9,8,3.78,18.4,1:54.705,1:36.518,1:18.464
2016,37,7,5,0,0,1,2.8,0,1:58.806,,
2016,38,11,7,1,0,0,2.71,14.3,1:58.247,-,1:17.210
2016,39,42,57,5,3,9,3.98,14,1:51.230,1:41.019,1:15.262
2016,40,13,18,1,2,1,3.5,16.7,1:54.163,-,1:17.232
2016,41,8,16,0,3,1,2.94,18.8,1:55.694,-,1:19.017
2016,42,48,80,17,22,11,6.21,48.8,1:53.795,1:38.824,1:14.904
2016,43,7,9,0,2,0,3,22.2,1:56.948,-,1:19.571
2016,44,47,78,42,20,6,8.36,79.5,1:52.675,1:34.270,1:14.495
2016,45,48,86,11,12,21,5.02,26.7,1:54.268,1:36.983,1:15.012
2016,46,48,86,21,20,14,6.4,47.7,1:52.714,1:36.194,1:15.461
2016,47,48,84,15,14,16,5.38,34.5,1:51.768,1:35.729,1:14.011
2016,48,48,84,10,18,17,5.25,33.3,1:53.986,1:34.554,1:16.062
2016,49,7,7,1,0,0,3,14.3,1:54.863,-,1:19.420
2016,50,11,12,0,2,1,3.42,16.7,1:56.615,-,1:18.913
2016,51,48,83,14,17,15,5.49,37.3,1:52.737,1:36.163,1:16.974
2016,52,42,54,3,6,8,3.87,16.7,1:55.983,1:36.063,1:15.749
2016,53,48,81,9,15,12,4.88,29.6,1:52.722,1:39.021,1:17.728
2016,54,48,85,21,18,14,6.13,45.9,1:51.439,1:34.393,1:16.463
2016,55,48,70,6,11,9,4.4,24.3,1:52.433,1:37.580,1:15.041
2016,56,7,3,0,0,0,1.67,0,2:00.799,-,1:22.291
2016,57,48,82,8,22,20,5.67,36.6,1:53.817,1:35.444,1:14.410
2016,58,37,61,8,6,6,4.26,23,1:52.482,1:39.184,1:14.640
2016,59,7,5,0,0,0,1.2,0,2:00.709,,
2016,60,42,54,6,4,10,4.28,18.5,1:53.615,1:36.158,1:18.281
2016,61,48,63,4,16,8,4.83,31.7,1:54.668,-,1:15.411
2016,62,42,49,1,9,7,3.94,20.4,1:54.711,1:38.236,1:19.221
2016,63,8,10,0,1,0,2.5,10,1:58.424,-,1:20.250
2016,64,48,77,11,13,14,5.03,31.2,1:54.355,1:37.541,1:16.759
2016,65,13,21,0,3,4,3.38,14.3,1:55.111,-,1:17.392
2016,66,47,80,57,14,4,9.05,88.8,1:49.612,1:32.989,1:14.145
2016,67,42,54,3,6,6,3.7,16.7,1:52.275,1:41.123,1:18.756
2016,68,40,61,6,9,9,4.34,24.6,1:52.981,1:34.936,1:16.054
2016,69,42,48,3,4,6,3.6,14.6,1:54.317,-,1:17.101
2016,70,48,82,17,17,15,5.95,41.5,1:53.344,1:39.326,1:15.730
2016,71,48,85,8,17,16,5.02,29.4,1:53.996,-,1:16.441
2016,72,48,80,19,23,15,6.53,52.5,1:53.388,-,1:15.809
2016,73,48,62,8,7,10,4.39,24.2,1:53.864,1:35.870,1:16.414
2016,74,7,9,0,1,0,2.33,11.1,2:00.115,-,1:17.565
2016,75,5,5,0,0,0,1.6,0,1:59.120,-,1:19.904
2016,76,48,81,7,14,17,4.88,25.9,1:52.400,1:36.186,1:16.281
2016,77,47,79,21,15,21,6.53,45.6,1:53.025,1:34.374,1:15.410
2016,78,48,72,9,12,8,4.63,29.2,1:51.130,1:39.679,1:15.894
2016,79,9,11,0,1,1,3,9.1,1:58.330,-,1:18.412
2016,80,48,84,14,16,12,5.45,35.7,1:54.946,1:37.788,1:16.676
2016,81,42,57,5,9,7,4.44,24.6,1:53.984,1:36.221,1:16.782
