Year,Boat_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2024,2,20,231,25,29,38,4.49,23.4,-,1:32.375,1:12.501
2024,3,21,321,38,54,48,4.66,28.7,-,1:31.432,1:12.649
2024,4,20,285,26,45,51,4.51,24.9,-,1:31.707,1:13.061
2024,5,21,258,56,38,38,5.38,36.4,-,1:30.548,1:12.314
2024,6,21,331,69,56,61,5.61,37.8,-,1:31.199,1:12.334
2024,7,21,342,63,64,55,5.43,37.1,-,1:31.561,1:12.465
2024,8,21,298,45,60,54,5.27,35.2,-,1:31.608,1:12.333
2024,9,21,318,62,61,55,5.65,38.7,-,1:31.048,1:12.584
2024,10,21,295,44,48,50,5.05,31.2,-,1:32.409,1:12.802
2024,11,21,240,52,52,36,5.88,43.3,-,1:30.495,1:11.968
2024,12,21,339,43,60,65,5.11,30.4,-,1:31.038,1:12.695
2024,13,20,311,52,59,40,5.11,35.7,-,1:30.759,1:11.955
2024,14,21,317,33,52,56,4.69,26.8,-,1:32.040,1:12.818
2024,15,5,296,39,46,49,4.81,28.7,-,1:31.029,1:12.842
2024,16,21,330,42,65,44,4.91,32.4,-,1:29.764,1:12.586
2024,17,21,298,53,45,55,5.25,32.9,-,1:30.382,1:12.637
2024,18,20,247,63,35,45,5.86,39.7,-,1:30.852,1:12.219
2024,19,19,316,47,46,52,4.79,29.4,-,1:30.887,1:11.665
2024,20,21,301,71,45,52,5.61,38.5,-,1:31.331,1:12.321
2024,21,21,275,64,42,53,5.67,38.5,-,1:30.611,1:12.392
2024,22,21,320,39,49,56,4.79,27.5,-,1:31.199,1:12.850
2024,23,18,200,26,25,29,4.47,25.5,-,1:33.330,1:12.617
2024,24,21,327,49,54,61,5.05,31.5,-,1:31.059,1:12.256
2024,25,21,297,57,54,48,5.38,37.4,-,1:30.702,1:12.259
2024,26,21,272,44,60,55,5.49,38.2,-,1:30.881,1:12.109
2024,27,21,231,51,48,31,5.77,42.9,-,1:29.966,1:12.367
2024,28,21,307,44,58,55,5.12,33.2,-,1:31.010,1:12.534
2024,29,21,291,56,53,60,5.62,37.5,-,1:29.836,1:12.573
2024,30,21,331,70,64,53,5.7,40.5,-,1:30.545,1:13.065
2024,31,20,318,58,59,59,5.48,36.8,-,1:31.496,1:12.586
2024,32,21,314,43,54,62,5.04,30.9,-,1:30.669,1:12.676
2024,33,21,288,35,32,61,4.65,23.3,-,1:30.883,1:12.402
2024,34,20,210,30,25,30,4.49,26.2,-,1:31.865,1:11.965
2024,35,19,324,45,48,66,4.93,28.7,-,1:30.134,1:12.912
