Year,Motor_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2022,1,48,115,28,25,16,6.09,46.1,-,1:31.455,1:12.367
2022,2,51,149,33,22,26,5.42,36.9,-,1:29.985,1:12.617
2022,3,46,116,9,19,17,4.26,24.1,-,1:32.482,1:13.886
2022,5,51,158,20,29,30,5.08,31,-,1:31.178,1:12.993
2022,7,51,148,30,24,23,5.2,36.5,-,1:30.925,1:13.114
2022,8,12,75,13,13,13,5.32,34.7,-,1:32.936,1:13.565
2022,12,51,156,21,18,32,4.74,25,-,1:31.241,1:13.354
2022,14,51,152,36,25,25,5.7,40.1,-,1:30.302,1:12.824
2022,15,51,127,30,22,25,5.88,40.9,-,1:30.881,1:12.694
2022,16,44,122,13,15,19,4.29,23,-,1:32.572,1:13.880
2022,17,51,165,23,26,31,4.98,29.7,-,1:31.921,1:13.169
2022,18,51,156,32,27,24,5.43,37.8,-,1:32.010,1:12.748
2022,19,51,127,21,37,23,6.01,45.7,-,1:30.286,1:13.157
2022,20,43,118,31,22,20,6.08,44.9,-,1:31.341,1:12.510
2022,21,51,138,39,16,28,5.99,39.9,-,1:30.126,1:12.359
2022,24,50,149,29,32,23,5.69,40.9,-,1:29.512,1:12.354
2022,25,51,157,29,28,27,5.56,36.3,-,1:30.202,1:12.314
2022,26,51,147,32,29,24,5.71,41.5,-,1:31.192,1:12.302
2022,27,50,135,19,18,18,4.49,27.4,-,1:30.613,1:13.586
2022,28,51,166,32,27,27,5.35,35.5,-,1:31.004,1:12.762
2022,29,46,99,7,13,7,3.69,20.2,-,1:33.847,1:12.999
2022,30,50,135,32,22,25,5.89,40,-,1:31.141,1:12.203
2022,31,51,127,31,24,24,6.03,43.3,-,1:29.615,1:12.345
2022,33,51,135,24,26,13,5.15,37,-,1:29.993,1:12.550
2022,35,51,154,16,24,27,4.68,26,-,1:31.173,1:13.306
2022,36,51,152,32,30,26,5.79,40.8,-,1:30.036,1:12.440
2022,38,51,152,25,22,24,4.88,30.9,-,1:31.963,1:12.332
