연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2022,51,2,01R,③ 김종민,② 반혜진,④ 김민길,(3) 1.4,"(3) 1.5, (2) 1.6",(3-2) 6.5,(3-2) 2.8,(3-2-4) 4.6,(3-2-4) 8.4,(3-2-4) 16.1,
2022,51,2,02R,④ 이승일,① 한 진,② 정인교,(4) 9.6,"(4) 3.0, (1) 2.0",(4-1) 23.4,(4-1) 9.5,(4-1-2) 14.7,(4-1-2) 53.6,(4-1-2) 116.7,
2022,51,2,03R,① 김민천,② 이휘동,⑥ 이 인,(1) 1.6,"(1) 1.4, (2) 2.1",(1-2) 3.9,(1-2) 3.1,(1-2-6) 36.3,(1-2-6) 58.3,(1-2-6) 77.4,
2022,51,2,04R,① 길현태,③ 이태희,⑥ 주은석,(1) 1.4,"(1) 1.2, (3) 3.8",(1-3) 6.1,(1-3) 5.2,(1-3-6) 5.8,(1-3-6) 8.8,(1-3-6) 21.0,
2022,51,2,05R,① 한종석,⑤ 이용세,④ 강지환,(1) 2.0,"(1) 1.4, (5) 6.1",(1-5) 10.4,(1-5) 7.4,(1-5-4) 12.2,(1-5-4) 18.5,(1-5-4) 47.4,
2022,51,2,06R,① 박정아,④ 박준현,③ 양원준,(1) 1.2,"(1) 1.0, (4) 12.7",(1-4) 16.0,(1-4) 15.5,(1-4-3) 23.8,(1-4-3) 30.5,(1-4-3) 75.0,
2022,51,2,07R,② 박석문,① 김인혜,⑤ 정민수,(2) 5.6,"(2) 1.6, (1) 1.2",(2-1) 7.3,(2-1) 2.0,(2-1-5) 7.4,(2-1-5) 33.1,(2-1-5) 41.1,
2022,51,2,08R,④ 김보경,① 황이태,③ 최광성,(4) 10.9,"(4) 2.4, (1) 2.7",(4-1) 64.3,(4-1) 23.3,(4-1-3) 23.2,(4-1-3) 127.3,(4-1-3) 193.6,⑤
2022,51,2,09R,⑤ 장수영,② 김승택,④ 권명호,(5) 11.1,"(5) 3.4, (2) 2.1",(5-2) 53.8,(5-2) 14.1,(5-2-4) 39.4,(5-2-4) 228.9,(5-2-4) 436.5,
2022,51,2,10R,① 윤영근,② 문주엽,③ 김영민,(1) 2.2,"(1) 1.2, (2) 1.8",(1-2) 5.7,(1-2) 2.9,(1-2-3) 5.9,(1-2-3) 14.1,(1-2-3) 19.2,
2022,51,2,11R,③ 박진서,① 홍기철,⑤ 김종민,(3) 18.6,"(3) 6.1, (1) 3.9",(3-1) 121.6,(3-1) 43.4,(3-1-5) 57.2,(3-1-5) 328.0,(3-1-5) 492.0,
2022,51,2,12R,② 김효년,③ 이승일,⑤ 최영재,(2) 1.3,"(2) 1.3, (3) 1.8",(2-3) 3.0,(2-3) 2.2,(2-3-5) 6.0,(2-3-5) 8.8,(2-3-5) 11.6,
2022,51,2,13R,③ 송효석,① 안지민,② 이용세,(3) 15.9,"(3) 3.4, (1) 1.1",(3-1) 24.6,(3-1) 8.2,(3-1-2) 3.2,(3-1-2) 31.8,(3-1-2) 47.3,
2022,51,2,14R,② 이응석,① 윤동오,⑥ 한종석,(2) 2.5,"(2) 2.0, (1) 1.6",(2-1) 6.6,(2-1) 3.3,(2-1-6) 19.1,(2-1-6) 45.1,(2-1-6) 61.2,
2022,51,2,15R,① 손지영,② 민영건,⑥ 김민천,(1) 1.3,"(1) 1.2, (2) 1.5",(1-2) 2.4,(1-2) 1.9,(1-2-6) 3.8,(1-2-6) 5.3,(1-2-6) 8.5,④
2022,51,2,16R,① 강지환,② 김도휘,③ 박준현,(1) 1.3,"(1) 1.1, (2) 1.4",(1-2) 2.9,(1-2) 2.0,(1-2-3) 5.4,(1-2-3) 7.9,(1-2-3) 10.8,
2022,51,2,17R,① 정경호,② 정민수,④ 손근성,(1) 3.0,"(1) 1.4, (2) 2.1",(1-2) 8.6,(1-2) 5.4,(1-2-4) 10.8,(1-2-4) 19.2,(1-2-4) 37.6,
2022,51,1,01R,-,-,-,([]) 1.0,([]) 1.0,([]-[]) 1.0,([]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,ALL
2022,51,1,02R,-,-,-,([]) 1.0,([]) 1.0,([]-[]) 1.0,([]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,ALL
2022,51,1,03R,-,-,-,([]) 1.0,([]) 1.0,([]-[]) 1.0,([]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,ALL
2022,51,1,04R,-,-,-,([]) 1.0,([]) 1.0,([]-[]) 1.0,([]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,ALL
2022,51,1,05R,-,-,-,([]) 1.0,([]) 1.0,([]-[]) 1.0,([]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,ALL
2022,51,1,06R,-,-,-,([]) 1.0,([]) 1.0,([]-[]) 1.0,([]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,ALL
2022,51,1,07R,-,-,-,([]) 1.0,([]) 1.0,([]-[]) 1.0,([]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,ALL
2022,51,1,08R,-,-,-,([]) 1.0,([]) 1.0,([]-[]) 1.0,([]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,ALL
