Year,Motor_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2018,1,13,128,55,37,14,7.72,71.9,1:56.752,1:34.698,1:14.510
2018,15,13,202,50,38,35,5.93,43.6,1:57.449,1:34.045,1:15.369
2018,18,12,155,14,20,31,4.51,21.9,1:55.168,1:34.709,1:15.769
2018,21,12,203,63,42,29,6.52,51.7,1:54.776,1:32.497,1:15.639
2018,23,13,164,24,19,34,4.77,26.2,1:56.540,1:34.223,1:15.654
2018,30,13,196,24,41,28,5.05,33.2,1:58.850,1:35.182,1:15.191
2018,48,13,214,32,41,35,5.21,34.1,2:03.786,1:34.554,1:15.545
2018,58,13,154,16,18,19,4.16,22.1,1:57.656,1:36.044,1:14.640
2018,64,13,200,23,33,34,4.75,28,1:58.490,1:35.463,1:15.721
2018,77,13,191,55,38,43,6.63,48.7,1:55.495,1:33.170,1:14.969
2018,78,11,200,21,35,30,4.69,28,2:03.866,1:35.324,1:15.894
2018,80,12,213,44,29,45,5.61,34.3,2:00.202,1:33.073,1:15.997
2018,84,13,187,67,38,28,6.82,56.1,1:59.245,1:32.961,1:14.647
2018,98,13,144,46,36,25,6.97,56.9,1:55.648,1:33.697,1:15.325
2018,99,12,97,5,14,14,4.06,19.6,1:58.406,1:36.961,1:16.418
2018,112,12,210,33,38,41,5.31,33.8,1:56.061,1:34.366,1:14.036
2018,116,13,194,58,42,33,6.73,51.5,1:56.237,1:34.216,1:14.075
2018,119,12,140,15,13,18,4.07,20,2:02.993,1:35.341,1:17.005
2018,124,13,216,26,41,33,4.81,31,1:56.723,1:35.931,1:15.278
2018,136,13,199,30,47,36,5.48,38.7,1:58.046,1:33.960,1:15.731
2018,143,11,184,18,24,23,4.25,22.8,2:03.785,1:35.238,1:16.361
2018,144,13,207,51,41,38,6.09,44.4,1:56.214,1:34.554,1:14.614
2018,145,11,208,21,24,47,4.73,21.6,2:00.059,1:34.223,1:17.028
2018,147,12,172,46,37,27,6.39,48.3,1:58.558,1:33.636,1:15.779
2018,148,13,164,13,23,20,4.12,22,2:00.878,1:37.287,1:16.698
2018,156,13,214,26,36,36,4.72,29,1:58.186,1:34.444,1:16.085
2018,157,13,193,54,35,33,6.12,46.1,1:55.666,1:33.742,1:15.317
2018,159,13,206,25,31,29,4.64,27.2,2:00.749,1:34.926,1:15.683
2018,2,52,81,13,24,13,5.75,45.7,1:54.109,1:33.190,1:15.375
2018,3,52,79,8,13,11,4.61,26.6,1:53.452,1:35.948,1:16.638
2018,4,52,64,17,12,10,6.31,45.3,1:53.157,1:33.235,1:13.945
2018,5,52,81,15,14,20,5.67,35.8,1:53.740,1:35.076,1:14.234
2018,6,52,77,5,14,13,4.47,24.7,1:55.474,1:36.791,1:16.498
2018,7,52,80,24,18,13,6.58,52.5,1:53.029,1:33.218,1:14.256
2018,8,52,73,11,17,15,5.75,38.4,1:53.340,1:33.960,1:15.337
2018,9,52,76,17,19,13,6.07,47.4,1:52.155,1:34.158,1:15.519
2018,11,50,55,28,16,2,8.27,80,1:51.037,1:32.028,1:14.623
2018,13,52,76,9,9,16,4.67,23.7,1:53.150,1:34.189,1:16.324
2018,16,52,69,15,12,13,5.8,39.1,1:54.069,1:35.362,1:16.248
2018,17,50,54,19,13,4,6.83,59.3,1:53.316,1:31.225,1:13.488
2018,19,50,60,1,7,9,3.55,13.3,1:55.883,1:35.392,1:17.455
2018,20,51,77,19,21,10,6.29,51.9,1:52.097,1:32.774,1:15.342
2018,24,52,68,6,8,10,4,20.6,1:53.978,1:35.139,1:15.952
2018,26,50,53,1,4,7,3.4,9.4,1:55.775,1:35.650,1:15.745
2018,27,50,47,2,4,5,3.34,12.8,1:58.010,1:38.663,1:16.277
2018,28,52,65,5,9,7,4.05,21.5,1:53.314,1:37.517,1:17.214
2018,29,50,70,28,10,9,6.84,54.3,1:52.717,1:32.228,1:16.203
2018,31,52,78,18,19,12,6.14,47.4,1:52.984,1:32.769,1:14.708
2018,32,52,75,11,14,9,5.09,33.3,1:52.325,1:35.897,1:15.228
2018,33,51,73,12,11,13,5.03,31.5,1:53.135,1:33.244,1:14.229
2018,34,50,49,2,3,7,3.31,10.2,1:57.687,1:35.756,1:15.910
2018,35,51,68,15,15,17,6.22,44.1,1:52.915,1:36.249,1:14.934
2018,36,51,67,8,7,8,4.09,22.4,1:53.848,1:34.396,1:16.490
2018,38,52,77,5,15,15,4.82,26,1:54.940,1:34.444,1:15.595
2018,39,47,58,19,11,11,6.9,51.7,1:51.032,1:34.672,1:16.395
2018,40,52,73,6,11,18,4.7,23.3,1:55.668,1:35.555,1:15.243
2018,42,51,80,12,20,11,5.33,40,1:54.473,1:34.234,1:15.435
2018,44,52,77,14,13,12,5.29,35.1,1:53.715,1:34.460,1:15.492
2018,45,52,74,14,10,12,5.11,32.4,1:53.189,1:35.472,1:15.352
2018,46,52,73,13,13,18,5.84,35.6,1:52.416,1:35.866,1:15.116
2018,47,52,74,7,14,20,4.88,28.4,1:54.465,1:35.272,1:14.849
2018,49,52,64,18,9,16,6.33,42.2,1:53.614,1:33.190,1:14.858
2018,51,52,75,22,6,15,5.72,37.3,1:51.134,1:32.958,1:14.945
2018,53,52,80,20,14,11,5.9,42.5,1:51.008,1:33.978,1:15.227
2018,54,52,79,8,17,14,4.89,31.6,1:54.990,1:35.593,1:14.824
2018,55,52,72,9,9,14,4.74,25,1:55.213,1:36.419,1:14.665
2018,56,52,72,17,15,7,5.85,44.4,1:52.955,1:33.138,1:15.337
2018,57,52,81,10,9,14,4.68,23.5,1:53.846,1:34.883,1:17.451
2018,59,49,71,9,5,8,3.92,19.7,1:54.836,1:35.411,1:17.282
2018,60,52,75,12,11,14,4.97,30.7,1:53.290,1:33.482,1:16.232
2018,61,52,72,13,12,15,5.35,34.7,1:52.746,1:36.162,1:14.739
2018,62,52,66,7,6,7,3.92,19.7,1:55.931,1:35.231,1:17.476
2018,63,52,78,9,8,16,4.65,21.8,1:53.570,1:35.385,1:15.063
2018,65,50,55,19,13,13,7.56,58.2,1:52.214,1:33.992,1:14.272
2018,66,52,81,12,13,20,5.19,30.9,1:54.873,1:34.908,1:15.173
2018,67,52,83,9,17,12,4.82,31.3,1:54.365,1:37.038,1:15.519
2018,68,52,73,8,19,12,5.25,37,1:52.555,1:34.907,1:15.699
2018,69,52,73,10,8,15,4.67,24.7,1:55.560,1:37.539,1:16.174
2018,70,52,72,14,7,6,4.6,29.2,1:53.991,1:34.460,1:16.170
2018,71,52,76,16,13,17,5.93,38.2,1:52.102,1:33.583,1:15.665
2018,72,52,73,15,7,9,4.92,30.1,1:54.030,1:35.978,1:15.511
2018,75,52,66,14,11,6,5.38,37.9,1:52.848,1:32.634,1:15.761
