연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2018,52,3,01R,① 임정택,③ 배혜민,② 반혜진,(1) 1.7,"(1) 1.1, (3) 3.1",(1-3) 6.5,(1-3) 5.9,(1-3-2) 2.6,(1-3-2) 4.3,(1-3-2) 17.6,
2018,52,3,02R,③ 강지환,① 이휘동,② 전두식,(3) 28.7,"(3) 6.9, (1) 1.2",(3-1) 54.2,(3-1) 11.6,(3-1-2) 13.4,(3-1-2) 156.5,(3-1-2) 196.3,
2018,52,3,03R,② 박정아,① 김승택,⑥ 조성인,(2) 1.1,"(2) 1.1, (1) 1.6",(2-1) 2.6,(2-1) 1.7,(2-1-6) 4.2,(2-1-6) 5.7,(2-1-6) 9.7,
2018,52,3,04R,① 홍기철,⑤ 심상철,④ 주은석,(1) 1.4,"(1) 1.2, (5) 1.2",(1-5) 3.2,(1-5) 1.4,(1-5-4) 6.7,(1-5-4) 12.2,(1-5-4) 16.5,
2018,52,3,05R,③ 이응석,⑤ 최영재,④ 문안나,(3) 1.1,"(3) 1.0, (5) 3.1",(3-5) 3.3,(3-5) 3.1,(3-5-4) 5.0,(3-5-4) 5.6,(3-5-4) 11.4,
2018,52,3,06R,① 장영태,② 나병창,⑤ 김선웅,(1) 1.5,"(1) 1.2, (2) 2.5",(1-2) 5.0,(1-2) 4.5,(1-2-5) 5.2,(1-2-5) 6.0,(1-2-5) 15.9,
2018,52,3,07R,① 장수영,③ 김응선,⑤ 오세준,(1) 1.1,"(1) 1.0, (3) 1.5",(1-3) 1.9,(1-3) 1.4,(1-3-5) 3.6,(1-3-5) 4.8,(1-3-5) 5.5,②
2018,52,3,08R,① 김도환,④ 김지훈,⑥ 임정택,(1) 2.6,"(1) 1.5, (4) 2.5",(1-4) 9.3,(1-4) 6.8,(1-4-6) 5.4,(1-4-6) 11.5,(1-4-6) 25.5,
2018,52,3,09R,⑤ 손동민,⑥ 이미나,③ 신현경,(5) 4.1,"(5) 2.0, (6) 8.9",(5-6) 16.3,(5-6) 13.5,(5-6-3) 16.0,(5-6-3) 27.2,(5-6-3) 56.9,
2018,52,3,10R,① 이동준,④ 박정아,③ 사재준,(1) 1.7,"(1) 1.2, (4) 1.1",(1-4) 2.6,(1-4) 1.5,(1-4-3) 2.4,(1-4-3) 4.7,(1-4-3) 7.4,
2018,52,3,11R,② 김대선,④ 박준현,⑤ 김인혜,(2) 4.5,"(2) 1.3, (4) 2.2",(2-4) 11.0,(2-4) 8.2,(2-4-5) 19.7,(2-4-5) 38.2,(2-4-5) 57.8,
2018,52,3,12R,② 황이태,① 김동민,④ 김승택,(2) 1.3,"(2) 1.0, (1) 1.3",(2-1) 2.9,(2-1) 1.6,(2-1-4) 2.6,(2-1-4) 4.5,(2-1-4) 6.6,
2018,52,3,13R,② 박설희,⑤ 이용세,⑥ 김명진,(2) 3.3,"(2) 1.3, (5) 2.5",(2-5) 5.2,(2-5) 3.7,(2-5-6) 26.2,(2-5-6) 62.7,(2-5-6) 65.8,
2018,52,3,14R,② 조성인,① 권혁민,④ 이진휘,(2) 1.2,"(2) 1.1, (1) 3.3",(2-1) 7.6,(2-1) 4.0,(2-1-4) 6.8,(2-1-4) 9.2,(2-1-4) 19.9,
2018,52,3,15R,① 한성근,⑤ 김민길,② 정종훈,(1) 3.1,"(1) 1.8, (5) 1.4",(1-5) 5.2,(1-5) 2.4,(1-5-2) 1.5,(1-5-2) 3.9,(1-5-2) 9.8,
2018,52,3,16R,④ 김응선,③ 서종원,① 김지훈,(4) 2.1,"(4) 1.2, (3) 4.4",(4-3) 15.7,(4-3) 8.7,(4-3-1) 6.0,(4-3-1) 12.9,(4-3-1) 48.8,
2018,52,2,01R,① 박준현,⑤ 장영태,③ 김동경,(1) 1.3,"(1) 1.3, (5) 3.9",(1-5) 6.7,(1-5) 5.1,(1-5-3) 5.2,(1-5-3) 7.5,(1-5-3) 21.6,
2018,52,2,02R,③ 김민길,② 신현경,④ 한성근,(3) 1.4,"(3) 1.0, (2) 1.6",(3-2) 2.9,(3-2) 2.1,(3-2-4) 2.6,(3-2-4) 3.4,(3-2-4) 6.6,
2018,52,2,03R,① 김응선,② 이응석,④ 정주현,(1) 4.9,"(1) 1.9, (2) 1.0",(1-2) 9.0,(1-2) 1.8,(1-2-4) 3.4,(1-2-4) 16.0,(1-2-4) 19.2,
2018,52,2,04R,② 김재윤,① 최광성,⑤ 배혜민,(2) 3.9,"(2) 1.4, (1) 1.6",(2-1) 8.2,(2-1) 3.6,(2-1-5) 7.6,(2-1-5) 21.7,(2-1-5) 32.2,
2018,52,2,05R,② 박영수,⑤ 황이태,⑥ 이시원,(2) 9.0,"(2) 3.9, (5) 1.3",(2-5) 17.8,(2-5) 6.8,(2-5-6) 39.6,(2-5-6) 101.8,(2-5-6) 96.6,
2018,52,2,06R,① 정종훈,② 김선웅,③ 김대선,(1) 1.5,"(1) 1.1, (2) 1.6",(1-2) 3.5,(1-2) 2.4,(1-2-3) 7.1,(1-2-3) 10.1,(1-2-3) 15.1,
2018,52,2,07R,② 김민준,⑤ 원용관,① 김창규,(2) 3.4,"(2) 1.8, (5) 4.8",(2-5) 16.2,(2-5) 11.7,(2-5-1) 15.2,(2-5-1) 28.8,(2-5-1) 111.5,
2018,52,2,08R,③ 이미나,① 박상현,② 박원규,(3) 2.2,"(3) 1.5, (1) 2.9",(3-1) 9.9,(3-1) 5.1,(3-1-2) 9.2,(3-1-2) 22.4,(3-1-2) 42.9,
2018,52,2,09R,① 최재원,③ 이경섭,⑥ 박준현,(1) 4.3,"(1) 2.9, (3) 1.3",(1-3) 18.1,(1-3) 8.1,(1-3-6) 48.1,(1-3-6) 182.6,(1-3-6) 191.1,
2018,52,2,10R,② 한성근,① 김강현,④ 심상철,(2) 4.3,"(2) 1.8, (1) 1.6",(2-1) 29.3,(2-1) 11.8,(2-1-4) 1.7,(2-1-4) 18.6,(2-1-4) 57.9,
2018,52,2,11R,① 조성인,③ 이동준,④ 김인혜,(1) 1.2,"(1) 1.2, (3) 1.5",(1-3) 2.5,(1-3) 2.1,(1-3-4) 5.4,(1-3-4) 7.7,(1-3-4) 9.2,
2018,52,2,12R,④ 임정택,③ 황이태,⑤ 문안나,(4) 4.3,"(4) 2.2, (3) 1.1",(4-3) 11.5,(4-3) 4.0,(4-3-5) 7.5,(4-3-5) 30.4,(4-3-5) 48.2,
2018,52,2,13R,① 사재준,③ 김승택,⑥ 정종훈,(1) 1.4,"(1) 1.1, (3) 2.0",(1-3) 3.9,(1-3) 3.4,(1-3-6) 3.7,(1-3-6) 5.3,(1-3-6) 9.2,
2018,52,2,14R,④ 홍기철,① 김희용,③ 손동민,(4) 4.3,"(4) 1.4, (1) 1.3",(4-1) 7.9,(4-1) 3.9,(4-1-3) 2.1,(4-1-3) 9.4,(4-1-3) 14.6,
2018,52,2,15R,④ 윤영근,① 한종석,② 김정구,(4) 7.7,"(4) 2.0, (1) 1.3",(4-1) 17.4,(4-1) 4.7,(4-1-2) 1.9,(4-1-2) 18.3,(4-1-2) 25.3,
2018,52,2,16R,① 원용관,② 이용세,⑤ 반혜진,(1) 3.6,"(1) 2.4, (2) 1.2",(1-2) 5.9,(1-2) 2.6,(1-2-5) 5.4,(1-2-5) 13.7,(1-2-5) 20.5,
2018,52,1,01R,③ 정훈민,① 신현경,⑥ 심상철,(3) 29.7,"(3) 3.3, (1) 1.0",(3-1) 54.7,(3-1) 15.9,(3-1-6) 2.7,(3-1-6) 33.7,(3-1-6) 110.1,
2018,52,1,02R,③ 김정구,④ 김선웅,⑥ 김동경,(3) 2.4,"(3) 1.5, (4) 2.3",(3-4) 8.4,(3-4) 6.3,(3-4-6) 19.7,(3-4-6) 26.1,(3-4-6) 32.9,
2018,52,1,03R,① 박설희,② 이진휘,④ 최재원,(1) 1.8,"(1) 1.2, (2) 1.4",(1-2) 3.1,(1-2) 1.8,(1-2-4) 12.4,(1-2-4) 17.0,(1-2-4) 20.4,
2018,52,1,04R,① 황이태,② 김강현,⑤ 이동준,(1) 1.8,"(1) 1.2, (2) 3.1",(1-2) 8.6,(1-2) 8.2,(1-2-5) 11.4,(1-2-5) 14.4,(1-2-5) 34.3,
2018,52,1,05R,① 이응석,⑥ 손동민,③ 이종인,(1) 1.2,"(1) 1.0, (6) 3.7",(1-6) 7.4,(1-6) 6.8,(1-6-3) 19.3,(1-6-3) 23.2,(1-6-3) 37.4,
2018,52,1,06R,② 배혜민,③ 조규태,① 이상문,(2) 2.1,"(2) 1.2, (3) 2.9",(2-3) 7.7,(2-3) 6.5,(2-3-1) 8.2,(2-3-1) 14.4,(2-3-1) 36.6,
2018,52,1,07R,① 반혜진,② 장영태,④ 장수영,(1) 3.1,"(1) 1.5, (2) 2.7",(1-2) 14.1,(1-2) 8.5,(1-2-4) 9.2,(1-2-4) 24.3,(1-2-4) 43.6,
2018,52,1,08R,② 김희용,④ 한종석,① 김명진,(2) 3.2,"(2) 1.5, (4) 1.8",(2-4) 8.5,(2-4) 5.1,(2-4-1) 3.9,(2-4-1) 8.9,(2-4-1) 21.8,
2018,52,1,09R,① 이용세,② 고정환,⑥ 신현경,(1) 1.6,"(1) 1.5, (2) 1.6",(1-2) 4.9,(1-2) 3.5,(1-2-6) 13.4,(1-2-6) 19.7,(1-2-6) 27.2,
2018,52,1,10R,① 심상철,③ 정주현,④ 나병창,(1) 1.0,"(1) 1.0, (3) 3.5",(1-3) 4.0,(1-3) 4.3,(1-3-4) 10.0,(1-3-4) 10.8,(1-3-4) 16.8,
2018,52,1,11R,③ 김선웅,② 이동준,④ 최광성,(3) 4.9,"(3) 2.0, (2) 1.4",(3-2) 13.2,(3-2) 3.7,(3-2-4) 6.4,(3-2-4) 33.8,(3-2-4) 45.9,
2018,52,1,12R,③ 김동민,⑥ 김민길,⑤ 한 운,(3) 9.9,"(3) 4.0, (6) 1.1",(3-6) 25.0,(3-6) 9.4,(3-6-5) 54.5,(3-6-5) 238.6,(3-6-5) 248.9,
2018,52,1,13R,① 박정아,⑥ 이응석,② 최영재,(1) 1.1,"(1) 1.0, (6) 1.7",(1-6) 2.7,(1-6) 2.2,(1-6-2) 2.0,(1-6-2) 2.5,(1-6-2) 5.6,
2018,52,1,14R,① 김대선,③ 이휘동,④ 김성찬,(1) 3.8,"(1) 1.4, (3) 1.6",(1-3) 5.4,(1-3) 3.0,(1-3-4) 15.7,(1-3-4) 34.4,(1-3-4) 34.0,
2018,52,1,15R,③ 정종훈,⑥ 반혜진,④ 조규태,(3) 1.7,"(3) 1.3, (6) 5.4",(3-6) 9.6,(3-6) 9.0,(3-6-4) 11.2,(3-6-4) 12.0,(3-6-4) 48.9,
2018,52,1,16R,⑤ 임정택,⑥ 황이태,④ 김창규,(5) 19.1,"(5) 3.7, (6) 5.3",(5-6) 64.8,(5-6) 36.0,(5-6-4) 105.2,(5-6-4) 677.4,(5-6-4) 835.5,
2018,51,2,01R,① 박원규,② 윤동오,⑤ 이용세,(1) 2.6,"(1) 1.7, (2) 2.7",(1-2) 15.8,(1-2) 9.9,(1-2-5) 7.3,(1-2-5) 14.9,(1-2-5) 46.8,
2018,51,2,02R,② 정민수,⑥ 손근성,① 최영재,(2) 1.2,"(2) 1.0, (6) 12.4",(2-6) 56.3,(2-6) 44.7,(2-6-1) 14.2,(2-6-1) 26.6,(2-6-1) 279.3,
2018,51,2,03R,③ 장영태,① 김동민,⑥ 한성근,(3) 2.0,"(3) 1.2, (1) 5.2",(3-1) 12.3,(3-1) 8.4,(3-1-6) 12.0,(3-1-6) 16.1,(3-1-6) 46.6,
2018,51,2,04R,① 손제민,④ 김지현,② 정주현,(1) 1.1,"(1) 1.0, (4) 1.6",(1-4) 2.5,(1-4) 2.0,(1-4-2) 1.8,(1-4-2) 2.1,(1-4-2) 4.7,
2018,51,2,05R,① 김민길,② 정인교,③ 김종목,(1) 2.0,"(1) 1.3, (2) 5.6",(1-2) 19.9,(1-2) 11.8,(1-2-3) 31.1,(1-2-3) 63.5,(1-2-3) 104.3,
2018,51,2,06R,① 장수영,④ 어선규,③ 이미나,(1) 2.0,"(1) 1.9, (4) 1.3",(1-4) 4.3,(1-4) 2.1,(1-4-3) 9.6,(1-4-3) 17.6,(1-4-3) 27.3,
2018,51,2,07R,③ 한종석,① 이택근,④ 이진우,(3) 1.2,"(3) 1.1, (1) 2.8",(3-1) 4.0,(3-1) 3.1,(3-1-4) 3.6,(3-1-4) 4.5,(3-1-4) 9.8,
