Year,Motor_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2021,1,46,38,7,12,6,6.24,50,-,1:31.474,1:13.630
2021,2,48,63,10,7,12,4.68,27,-,1:32.068,1:13.507
2021,3,48,37,3,8,4,4.46,29.7,-,1:32.482,1:14.299
2021,5,48,49,6,7,11,4.94,26.5,-,1:31.178,1:13.730
2021,7,48,43,12,5,5,5.58,39.5,-,1:31.193,1:13.256
2021,8,47,47,10,10,7,5.91,42.6,-,1:33.305,1:13.883
2021,12,48,50,8,7,9,5.1,30,-,1:31.865,1:14.101
2021,14,48,61,12,10,9,5.33,36.1,-,1:31.331,1:13.799
2021,15,47,51,13,9,9,5.75,43.1,-,1:31.960,1:13.109
2021,16,48,49,6,3,9,4.14,18.4,-,1:32.572,1:14.496
2021,17,48,25,3,7,5,5.28,40,-,1:32.055,1:16.425
2021,18,48,62,14,11,9,5.52,40.3,-,1:32.441,1:13.481
2021,19,47,50,9,16,7,5.92,50,-,1:31.771,1:14.104
2021,20,48,57,14,8,9,5.63,38.6,-,1:31.341,1:12.510
2021,21,48,58,14,8,11,5.83,37.9,-,1:30.887,1:13.347
2021,24,47,44,7,14,6,5.95,47.7,-,1:33.091,1:13.778
2021,25,48,66,13,8,13,5.36,31.8,-,1:30.820,1:13.500
2021,26,47,43,10,12,4,5.98,51.2,-,1:32.238,1:13.382
2021,27,48,56,7,11,8,4.79,32.1,-,1:30.613,1:13.919
2021,28,48,40,5,3,7,4.6,20,-,1:31.721,1:13.901
2021,29,48,37,2,2,2,2.81,10.8,-,1:33.847,1:15.189
2021,30,46,39,12,7,6,6.38,48.7,-,1:31.141,1:14.613
2021,31,47,48,11,8,11,5.85,39.6,-,1:31.187,1:13.541
2021,33,48,65,13,9,4,4.91,33.8,-,1:29.993,1:13.489
2021,34,23,11,5,2,3,7.82,63.6,-,1:31.617,1:14.638
2021,35,48,60,8,13,10,5.43,35,-,1:31.524,1:13.917
2021,36,47,58,13,10,11,5.78,39.7,-,1:32.034,1:13.583
2021,38,48,37,3,4,7,4.24,18.9,-,1:32.253,1:13.755
2021,40,46,48,9,8,13,5.73,35.4,-,1:32.514,1:14.125
2021,42,48,55,10,9,8,5.25,34.5,-,1:32.170,1:13.300
2021,44,48,58,8,8,7,4.5,27.6,-,1:33.364,1:14.458
2021,45,48,64,6,7,17,4.59,20.3,-,1:32.637,1:13.724
2021,46,48,38,4,7,9,4.97,28.9,-,1:30.265,1:14.319
2021,47,48,57,8,7,4,4.25,26.3,-,1:31.870,1:13.969
2021,48,48,65,8,12,10,4.94,30.8,-,1:33.736,1:13.906
2021,49,48,50,6,7,7,4.62,26,-,1:34.409,1:13.383
2021,51,48,49,10,6,11,5.53,32.7,-,1:31.382,1:13.806
2021,52,48,43,7,5,10,4.84,27.9,-,1:31.570,1:13.803
2021,53,47,46,10,11,10,6.3,45.7,-,1:32.651,1:14.095
2021,54,48,54,9,13,8,5.41,40.7,-,1:32.543,1:14.075
2021,56,48,39,4,4,4,4,20.5,-,1:32.965,1:13.768
2021,59,48,61,10,11,11,5.23,34.4,-,1:35.216,1:13.757
2021,60,47,51,6,6,13,4.73,23.5,-,1:31.628,1:13.831
2021,61,47,45,10,8,9,6.02,40,-,1:32.305,1:13.865
2021,62,48,63,8,12,12,5.08,31.7,-,1:32.136,1:14.165
2021,64,48,19,2,3,3,4.79,26.3,-,1:32.331,1:15.384
2021,65,48,56,8,8,13,5.14,28.6,-,1:32.028,1:14.101
2021,66,47,46,13,9,3,6.07,47.8,-,1:31.755,1:13.367
2021,68,48,60,12,7,11,5.22,31.7,-,1:31.805,1:13.896
2021,70,48,50,5,8,9,4.56,26,-,1:31.719,1:14.873
2021,71,47,41,12,7,5,6.05,46.3,-,1:30.518,1:13.706
2021,74,47,42,19,8,8,7.64,64.3,-,1:30.287,1:12.754
2021,75,48,61,11,9,12,5.33,32.8,-,1:30.600,1:14.192
2021,76,47,58,5,7,7,4.1,20.7,-,1:30.759,1:14.777
2021,77,48,50,9,13,6,5.74,44,-,1:31.463,1:14.288
2021,78,47,39,12,7,8,6.56,48.7,-,1:30.874,1:13.557
2021,79,47,41,9,7,9,5.9,39,-,1:31.104,1:13.735
2021,80,47,51,14,9,9,6.24,45.1,-,1:30.657,1:12.641
2021,82,48,59,10,9,8,5.17,32.2,-,1:33.508,1:12.849
2021,84,48,47,13,8,2,5.66,44.7,-,1:33.061,1:13.273
2021,85,48,63,10,12,14,5.49,34.9,-,1:31.260,1:13.479
2021,86,47,42,9,12,4,6.33,50,-,1:30.515,1:12.211
2021,87,48,54,7,7,11,4.7,25.9,-,1:33.946,1:12.949
2021,88,48,64,8,19,7,5.41,42.2,-,1:32.847,1:13.993
