Year,Motor_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2021,89,47,38,10,7,7,6.16,44.7,-,1:30.883,1:13.172
2021,90,48,45,5,5,10,4.62,22.2,-,1:33.026,1:13.757
2021,91,48,63,6,14,13,5.11,31.7,-,1:33.418,1:14.298
2021,92,46,47,13,9,5,5.79,46.8,-,1:32.106,1:13.762
2021,93,31,21,3,2,5,4.52,23.8,-,1:32.542,1:14.047
2021,94,48,60,8,10,9,5,30,-,1:31.452,1:13.824
2021,95,48,38,1,6,5,3.63,18.4,-,1:33.861,1:14.517
2021,96,48,63,11,7,8,4.7,28.6,-,1:30.916,1:14.313
2021,97,47,57,11,9,15,5.74,35.1,-,1:30.954,1:13.616
2021,98,47,40,11,11,5,6.55,55,-,1:30.757,1:13.670
2021,101,48,37,4,2,5,3.81,16.2,-,1:33.215,1:14.760
2021,102,48,58,7,8,10,4.64,25.9,-,1:31.248,1:13.287
2021,103,48,35,2,2,8,3.77,11.4,-,1:31.643,1:14.339
2021,104,45,38,3,3,6,3.79,15.8,-,1:32.268,1:14.333
2021,105,48,60,9,12,8,5.18,35,-,1:31.146,1:14.227
2021,106,47,41,12,7,9,6.54,46.3,-,1:32.288,1:12.971
2021,110,48,49,4,12,5,4.73,32.7,-,1:32.393,1:13.587
2021,112,48,37,0,2,2,2.46,5.4,-,1:36.475,1:16.389
2021,113,48,58,4,10,8,4.26,24.1,-,1:34.234,1:14.632
2021,114,48,63,6,14,12,4.89,31.7,-,1:33.299,1:14.815
2021,115,48,62,6,13,13,5.15,30.6,-,1:30.013,1:14.254
2021,116,48,48,4,4,12,4.19,16.7,-,1:33.363,1:14.041
2021,117,48,41,5,5,9,4.37,24.4,-,1:30.495,1:14.961
2021,118,48,58,9,11,6,5.14,34.5,-,1:32.553,1:14.194
2021,120,48,38,3,4,6,3.79,18.4,-,1:32.364,1:15.817
2021,121,48,42,2,6,6,3.62,19,-,1:32.315,1:15.485
2021,124,48,60,7,10,11,4.75,28.3,-,1:31.948,1:13.543
2021,125,47,46,14,5,9,6.04,41.3,-,1:31.133,1:13.246
2021,127,48,62,8,11,15,5.31,30.6,-,1:33.152,1:14.194
2021,129,47,52,6,7,11,4.38,25,-,1:31.973,1:14.225
2021,130,47,54,6,14,7,4.91,37,-,1:33.361,1:14.760
2021,131,48,50,6,7,8,4.6,26,-,1:33.176,1:13.513
2021,132,48,50,6,11,8,4.96,34,-,1:32.492,1:14.499
2021,134,48,47,6,7,12,5.32,27.7,-,1:32.940,1:13.817
2021,136,48,43,4,2,8,3.93,14,-,1:32.261,1:16.195
2021,137,48,50,5,7,7,4.34,24,-,1:35.269,1:13.904
2021,138,47,47,10,10,8,5.87,42.6,-,1:32.765,1:13.386
2021,140,47,51,17,10,11,6.86,52.9,-,1:31.463,1:12.536
2021,141,48,46,6,7,8,4.74,28.3,-,1:31.796,1:13.410
2021,142,48,61,16,7,8,5.62,37.7,-,1:30.889,1:12.886
2021,143,47,41,7,12,4,5.78,46.3,-,1:32.162,1:14.105
2021,144,44,50,11,11,10,5.92,44,-,1:32.120,1:12.845
2021,147,47,49,17,4,10,6.24,42.9,-,1:31.965,1:13.044
2021,148,47,58,15,11,7,5.91,44.8,-,1:31.784,1:13.032
2021,149,48,58,9,17,7,5.72,44.8,-,1:31.911,1:14.173
2021,150,48,62,8,8,10,4.76,25.8,-,1:32.124,1:14.454
