Year,Boat_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2023,1,30,229,38,40,43,5.28,34.1,-,1:31.827,1:12.985
2023,2,49,198,20,25,33,4.41,22.7,-,1:32.375,1:13.562
2023,3,51,277,35,44,46,4.79,28.5,-,1:31.432,1:12.649
2023,4,52,239,24,40,45,4.69,26.8,-,1:31.707,1:13.061
2023,5,51,216,52,34,32,5.62,39.8,-,1:30.548,1:12.314
2023,6,52,281,57,45,54,5.56,36.3,-,1:31.199,1:12.334
2023,7,52,287,57,46,45,5.39,35.9,-,1:31.561,1:12.465
2023,8,52,250,38,48,48,5.23,34.4,-,1:31.608,1:12.971
2023,9,52,270,54,52,45,5.7,39.3,-,1:31.048,1:12.584
2023,10,52,246,35,37,44,4.96,29.3,-,1:32.409,1:12.802
2023,11,52,199,41,45,31,5.85,43.2,-,1:30.495,1:12.181
2023,12,51,286,37,52,50,5.12,31.1,-,1:31.436,1:12.695
2023,13,52,279,49,47,38,5.08,34.4,-,1:30.759,1:11.955
2023,14,52,263,26,43,49,4.67,26.2,-,1:32.040,1:13.480
2023,15,48,287,37,45,48,4.82,28.6,-,1:31.029,1:12.842
2023,16,52,283,34,56,39,4.87,31.8,-,1:32.076,1:13.031
2023,17,52,249,49,40,46,5.49,35.7,-,1:30.382,1:12.637
2023,18,52,216,56,33,38,5.94,41.2,-,1:30.852,1:12.219
2023,19,52,276,43,43,46,4.92,31.2,-,1:30.887,1:11.665
2023,20,52,271,63,41,49,5.65,38.4,-,1:31.331,1:12.393
2023,21,52,227,54,35,38,5.59,39.2,-,1:30.611,1:12.392
2023,22,51,272,34,43,48,4.87,28.3,-,1:32.306,1:12.850
2023,23,42,177,20,20,26,4.27,22.6,-,1:33.330,1:12.617
2023,24,52,286,40,50,57,5.07,31.5,-,1:31.059,1:12.256
2023,25,50,244,50,39,38,5.34,36.5,-,1:30.702,1:12.259
2023,26,52,223,35,51,43,5.41,38.6,-,1:30.881,1:12.109
2023,27,52,190,47,40,26,6.02,45.8,-,1:29.966,1:12.367
2023,28,52,265,37,50,46,5.05,32.8,-,1:31.010,1:12.534
2023,29,52,244,46,45,52,5.63,37.3,-,1:31.211,1:12.695
2023,30,52,291,58,59,47,5.63,40.2,-,1:30.545,1:13.065
2023,31,52,263,47,44,51,5.36,34.6,-,1:31.907,1:12.586
2023,32,52,266,39,50,54,5.26,33.5,-,1:30.669,1:12.687
2023,33,50,263,34,28,56,4.67,23.6,-,1:30.883,1:12.402
2023,34,52,183,29,22,25,4.58,27.9,-,1:31.865,1:11.965
2023,35,52,275,37,43,59,4.99,29.1,-,1:30.134,1:13.240
2023,36,52,246,41,33,44,5.12,30.1,-,1:31.479,1:11.989
2023,37,51,265,59,47,48,5.66,40,-,1:31.146,1:12.602
2023,38,51,279,42,53,47,5.26,34.1,-,1:31.307,1:13.158
2023,39,52,220,30,39,37,4.98,31.4,-,1:30.610,1:12.210
2023,40,49,173,16,28,28,4.4,25.4,-,1:31.548,1:12.999
2023,41,52,192,49,35,34,6.21,43.8,-,1:30.429,1:12.366
2023,42,52,225,50,36,35,5.65,38.2,-,1:30.548,1:12.625
2023,43,52,213,48,52,25,6.05,46.9,-,1:30.203,1:12.372
2023,44,37,199,40,28,36,5.4,34.2,-,1:30.515,1:12.894
2023,45,52,204,56,35,27,6.01,44.6,-,1:30.287,1:11.991
2023,46,52,250,28,33,41,4.5,24.4,-,1:32.068,1:13.480
2023,47,52,178,40,40,34,6.16,44.9,-,1:30.954,1:12.004
2023,48,52,190,23,29,26,4.54,27.4,-,1:31.513,1:13.563
2023,49,44,193,20,18,34,4.27,19.7,-,1:31.948,1:11.750
2023,50,40,122,8,18,16,4.08,21.3,-,1:32.591,1:13.862
2023,51,51,241,58,38,36,5.76,39.8,-,1:30.388,1:12.316
2023,52,46,141,16,17,21,4.3,23.4,-,1:30.657,1:12.662
2023,53,52,257,27,47,51,4.98,28.8,-,1:30.669,1:13.132
2023,54,52,212,26,30,29,4.6,26.4,-,1:31.969,1:12.840
2023,55,52,215,44,37,36,5.47,37.7,-,1:29.413,1:12.381
2023,56,44,130,12,12,18,3.96,18.5,-,1:31.771,1:13.109
2023,57,51,175,14,31,29,4.46,25.7,-,1:31.133,1:13.850
2023,58,40,138,12,22,17,4.11,24.6,-,1:33.784,1:13.565
2023,59,49,213,24,25,32,4.42,23,-,1:32.106,1:13.081
2023,60,43,258,41,40,36,4.89,31.4,-,1:29.993,1:12.845
2023,61,52,211,22,36,32,4.62,27.5,-,1:31.643,1:11.826
2023,62,52,290,43,37,51,4.78,27.6,-,1:31.178,1:12.469
2023,63,52,246,34,43,47,5.11,31.3,-,1:30.637,1:13.067
2023,64,52,266,41,44,49,5.06,32,-,1:30.518,1:12.908
2023,65,52,165,38,33,20,5.63,43,-,1:30.636,1:12.326
2023,66,52,247,55,50,33,5.7,42.5,-,1:31.246,1:12.320
2023,67,52,238,59,31,44,5.6,37.8,-,1:32.167,1:11.941
2023,68,52,203,58,33,29,6.17,44.8,-,1:29.512,1:12.302
2023,69,50,277,45,48,42,5.12,33.6,-,1:31.420,1:12.440
2023,70,52,253,46,46,36,5.23,36.4,-,1:31.720,1:12.827
2023,71,52,276,40,54,44,5.07,34.1,-,1:29.985,1:11.841
2023,72,52,264,62,28,43,5.34,34.1,-,1:29.931,1:12.694
2023,73,44,171,8,34,25,4.3,24.6,-,1:32.932,1:14.630
2023,74,52,273,50,42,43,5.08,33.7,-,1:30.962,1:12.849
2023,75,52,179,44,29,34,5.81,40.8,-,1:29.615,1:12.345
2023,76,51,150,37,24,25,5.83,40.7,-,1:30.126,1:12.359
2023,77,52,259,37,47,46,5.14,32.4,-,1:31.475,1:12.370
2023,78,52,271,37,55,48,5.14,33.9,-,1:30.925,1:12.640
2023,79,50,261,48,43,53,5.37,34.9,-,1:31.767,1:12.091
2023,80,52,273,43,49,45,5.13,33.7,-,1:30.286,1:12.877
2023,81,52,221,28,34,30,4.61,28.1,-,1:33.065,1:12.969
2023,82,52,281,43,53,47,5.09,34.2,-,1:29.666,1:13.035
2023,83,51,197,32,39,34,5.35,36,-,1:31.846,1:12.698
2023,84,52,270,43,39,41,4.9,30.4,-,1:30.768,1:12.770
2023,85,52,250,42,40,42,5.11,32.8,-,1:31.640,1:12.305
2023,86,51,182,43,37,29,5.85,44,-,1:29.785,1:11.809
2023,87,52,262,53,46,47,5.58,37.8,-,1:31.103,1:12.148
2023,88,37,120,7,16,19,4.05,19.2,-,1:30.202,1:13.964
2023,89,50,223,57,42,37,6.01,44.4,-,1:31.192,1:12.222
2023,90,52,250,51,44,37,5.61,38,-,1:32.077,1:12.180
2023,91,52,216,44,47,37,5.78,42.1,-,1:30.175,1:12.853
2023,92,52,274,39,42,53,4.95,29.6,-,1:30.927,1:12.822
2023,93,52,268,51,49,44,5.39,37.3,-,1:31.045,1:12.211
2023,94,52,286,50,57,37,5.31,37.4,-,1:30.302,1:12.332
2023,95,52,242,37,44,39,5.04,33.5,-,1:32.194,1:12.422
2023,96,52,267,38,51,42,5.02,33.3,-,1:30.837,1:12.540
2023,97,29,221,38,38,33,5.08,34.4,-,1:30.820,1:12.385
2023,98,48,270,39,58,38,5.19,35.9,-,1:31.629,1:13.113
2023,99,52,261,59,43,34,5.5,39.1,-,1:31.320,1:12.520
2023,100,48,256,42,49,41,5.3,35.5,-,1:30.098,1:12.476
2023,101,52,194,62,34,41,6.71,49.5,-,1:29.898,1:12.280
2023,102,52,270,33,47,54,5,29.6,-,1:31.748,1:12.753
2023,103,51,251,33,41,57,5.04,29.5,-,1:30.600,1:12.422
2023,104,52,208,48,43,41,5.98,43.8,-,1:30.036,1:12.203
2023,105,52,174,16,29,35,4.63,25.9,-,1:32.543,1:12.813
2023,106,52,260,29,40,39,4.58,26.5,-,1:31.567,1:13.120
2023,107,40,191,22,23,22,4.28,23.6,-,1:31.628,1:12.350
2023,108,50,210,31,22,38,4.59,25.2,-,1:30.889,1:12.263
2023,109,52,270,44,38,50,5.14,30.4,-,1:29.947,1:12.399
2023,110,48,253,50,40,37,5.25,35.6,-,1:30.066,1:12.450
