연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2020,44,2,01R,⑤ 손유정,⑥ 전동욱,③ 최인원,(5) 17.2,,(5-6) 47.1,,(5-6-3) 5.9,-,④,완료
2020,44,2,02R,③ 이미나,⑤ 김태규,② 김강현,(3) 3.7,,(3-5) 6.5,,(3-5-2) 2.3,-,,완료
2020,44,2,03R,③ 김민천,⑤ 한성근,⑥ 권일혁,(3) 3.9,,(3-5) 4.4,,(3-5-6) 4.4,-,,완료
2020,44,2,04R,④ 최재원,⑤ 조성인,② 김종민,(4) 4.6,,(4-5) 18.8,,(4-5-2) 1.5,-,,완료
2020,44,2,05R,⑤ 이승일,④ 한 진,① 전두식,(5) 4.8,,(5-4) 7.0,,(5-4-1) 2.3,-,,완료
2020,44,2,06R,② 나병창,① 이택근,⑤ 이주영,(2) 11.9,,(2-1) 34.9,,(2-1-5) 3.1,-,,완료
2020,44,2,07R,② 신동길,③ 서 휘,④ 정민수,(2) 1.6,,(2-3) 2.4,,(2-3-4) 8.2,-,,완료
2020,44,2,08R,⑥ 박원규,① 김태규,⑤ 김강현,(6) 5.1,,(6-1) 10.3,,(6-1-5) 7.2,-,,완료
2020,44,2,09R,④ 류석현,③ 권일혁,⑤ 김민천,(4) 1.8,,(4-3) 3.5,,(4-3-5) 1.5,-,,완료
2020,44,2,10R,① 김동민,② 조성인,③ 김종민,(1) 8.9,,(1-2) 10.7,,(1-2-3) 3.3,-,,완료
2020,44,1,01R,① 이승일,⑤ 김민길,③ 강창효,(1) 2.6,,(1-5) 9.8,,(1-5-3) 19.6,-,,완료
2020,44,1,02R,② 권일혁,⑤ 곽현성,③ 신동길,(2) 4.1,,(2-5) 28.4,,(2-5-3) 7.4,-,,완료
2020,44,1,03R,⑥ 조성인,② 한 진,④ 김종목,(6) 8.9,,(6-2) 21.2,,(6-2-4) 38.8,-,,완료
2020,44,1,04R,① 전동욱,④ 최인원,⑥ 이수빈,(1) 1.8,,(1-4) 6.3,,(1-4-6) 11.9,-,,완료
2020,44,1,05R,② 김태규,③ 최재원,⑥ 이택근,(2) 2.7,,(2-3) 5.3,,(2-3-6) 2.1,-,,완료
2020,44,1,06R,① 이미나,② 한성근,④ 김민천,(1) 4.2,,(1-2) 6.9,,(1-2-4) 2.8,-,,완료
2020,44,1,07R,③ 김강현,④ 김종민,⑤ 강창효,(3) 1.5,,(3-4) 2.0,,(3-4-5) 3.3,-,,완료
2020,44,1,08R,⑤ 김정구,② 김지훈,① 김민길,(5) 1.6,,(5-2) 3.9,,(5-2-1) 1.5,-,,완료
2020,44,1,09R,⑥ 이승일,② 이주영,⑤ 김동민,(6) 19.5,,(6-2) 47.1,,(6-2-5) 5.6,-,,완료
2020,44,1,10R,⑤ 류석현,⑥ 이동준,② 곽현성,(5) 2.9,,(5-6) 25.0,,(5-6-2) 25.7,-,,완료
2020,43,2,01R,① 김보경,④ 염윤정,③ 이수빈,(1) 1.4,,(1-4) 3.7,,(1-4-3) 1.6,-,,완료
2020,43,2,02R,⑤ 이동준,① 원용관,③ 윤동오,(5) 1.2,,(5-1) 1.6,,(5-1-3) 2.5,-,,완료
2020,43,2,03R,⑥ 김지현,② 정경호,④ 김종희,(6) 5.3,,(6-2) 7.2,,(6-2-4) 2.2,-,,완료
2020,43,2,04R,③ 김인혜,⑥ 이진우,④ 한종석,(3) 1.4,,(3-6) 4.7,,(3-6-4) 3.1,-,,완료
2020,43,2,05R,① 손동민,② 고정환,④ 김현덕,(1) 8.0,,(1-2) 12.6,,(1-2-4) 45.7,-,,완료
2020,43,2,06R,③ 박석문,⑤ 권명호,① 주은석,(3) 23.8,,(3-5) 300.9,,(3-5-1) 15.8,-,,완료
2020,43,2,07R,② 박종덕,① 김강현,④ 이지은,(2) 1.4,,(2-1) 3.0,,(2-1-4) 1.8,-,,완료
2020,43,2,08R,① 김민천,② 송효석,⑤ 김은지,(1) 1.3,,(1-2) 1.6,,(1-2-5) 2.3,-,,완료
2020,43,1,01R,② 손유정,④ 이수빈,⑤ 염윤정,(2) 1.8,,(2-4) 3.4,,(2-4-5) 2.6,-,,완료
2020,43,1,02R,② 한종석,⑤ 고정환,① 한준희,(2) 1.2,,(2-5) 2.1,,(2-5-1) 11.8,-,,완료
2020,43,1,03R,④ 김인혜,① 김은지,⑤ 박종덕,(4) 1.2,,(4-1) 3.0,,(4-1-5) 1.6,-,,완료
2020,43,1,04R,② 이동준,① 김지현,③ 송효범,(2) 4.3,,(2-1) 5.1,,(2-1-3) 9.0,-,,완료
2020,43,1,05R,③ 김승택,① 박준현,④ 정훈민,(3) 1.8,,(3-1) 5.9,,(3-1-4) 2.4,-,,완료
2020,43,1,06R,⑤ 송효석,④ 김도휘,② 권명호,(5) 1.7,,(5-4) 2.5,,(5-4-2) 2.4,-,,완료
2020,43,1,07R,② 기광서,⑤ 나병창,① 류해광,(2) 1.1,,(2-5) 2.1,,(2-5-1) 2.1,-,,완료
2020,43,1,08R,⑤ 김민천,③ 이지은,② 김지영,(5) 1.5,,(5-3) 14.4,,(5-3-2) 41.0,-,,완료
2020,42,2,01R,① 홍진수,③ 최인원,④ 염윤정,(1) 2.4,,(1-3) 6.3,,(1-3-4) 1.5,-,,완료
2020,42,2,02R,④ 원용관,② 김종희,⑥ 송효석,(4) 1.8,,(4-2) 4.5,,(4-2-6) 2.4,-,,완료
2020,42,2,03R,④ 조성인,① 기광서,⑥ 김종목,(4) 1.0,,(4-1) 2.7,,(4-1-6) 11.8,-,,완료
2020,42,2,04R,① 김지영,② 주은석,④ 한종석,(1) 1.8,,(1-2) 3.2,,(1-2-4) 7.3,-,,완료
2020,42,2,05R,① 전정환,③ 박민영,② 이진휘,(1) 3.7,,(1-3) 8.4,,(1-3-2) 6.2,-,,완료
2020,42,2,06R,⑤ 한 진,② 이미나,③ 김동민,(5) 10.4,,(5-2) 22.6,,(5-2-3) 1.3,-,,완료
2020,42,2,07R,④ 한성근,① 하서우,⑤ 김명진,(4) 2.0,,(4-1) 3.0,,(4-1-5) 2.0,-,,완료
2020,42,2,08R,⑤ 김도휘,② 임태경,④ 김지현,(5) 5.0,,(5-2) 13.5,,(5-2-4) 1.4,-,,완료
2020,42,1,01R,① 전동욱,③ 염윤정,⑥ 나종호,(1) 9.3,,(1-3) 22.6,,(1-3-6) 83.7,-,,완료
2020,42,1,02R,② 김도휘,④ 김동민,① 김종목,(2) 1.0,,(2-4) 1.6,,(2-4-1) 2.0,-,,완료
2020,42,1,03R,③ 한성근,② 이 인,⑥ 임태경,(3) 1.2,,(3-2) 7.9,,(3-2-6) 2.9,-,,완료
2020,42,1,04R,② 김지현,⑥ 김지영,③ 김희용,(2) 1.1,,(2-6) 3.0,,(2-6-3) 2.7,-,,완료
2020,42,1,05R,① 원용관,⑥ 주은석,⑤ 김승택,(1) 2.0,,(1-6) 2.9,,(1-6-5) 5.5,-,,완료
2020,42,1,06R,① 윤동오,⑥ 조성인,④ 박민영,(1) 11.0,,(1-6) 21.3,,(1-6-4) 13.4,-,,완료
2020,42,1,07R,⑤ 이미나,② 황만주,① 송효석,(5) 5.6,,(5-2) 11.0,,(5-2-1) 1.3,-,,완료
2020,42,1,08R,③ 김명진,② 김현덕,① 장수영,(3) 7.9,,(3-2) 19.2,,(3-2-1) 1.4,-,,완료
2020,4,3,01R,⑤ 나종호,② 홍진수,③ 이수빈,(5) 6.7,"(5) 1.8, (2) 1.0",(5-2) 8.8,(5-2) 1.6,(5-2-3) 2.6,(5-2-3) 20.3,(5-2-3) 24.9,①
2020,4,3,02R,⑥ 심상철,④ 박원규,① 구본선,(6) 2.1,"(6) 2.0, (4) 1.3",(6-4) 6.4,(6-4) 2.4,(6-4-1) 13.0,(6-4-1) 37.1,(6-4-1) 50.2,
2020,4,3,03R,② 손제민,③ 구현구,⑥ 이주영,(2) 1.1,"(2) 1.1, (3) 1.8",(2-3) 2.2,(2-3) 1.8,(2-3-6) 3.3,(2-3-6) 3.8,(2-3-6) 5.8,
2020,4,3,04R,-,-,-,([]) 1.0,([]) 1.0,([]-[]) 1.0,([]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,ALL ① ② ③ ④ ⑤ ⑥
