연도,회차,일차,경주번호,번호,등급,기수,선수명,성별,나이,체중,최근6회차_평균착순점,최근6회차_평균득점,최근6회차_승률,최근6회차_연대율2,최근6회차_연대율3,최근6회차_평균ST,최근8경주_착순,연간성적_평균착순점,연간성적_연대율,FL,평균사고점,금일출주경주,전일성적,출주횟수,코스_1코스,코스_2코스,코스_3코스,코스_4코스,코스_5코스,코스_6코스,모터번호,모터_평균착순점,모터_연대율2,모터_연대율3,전탑승선수1,전탑승선수2,보트번호,보트_평균착순점,보트_연대율,특이사항
2022,1,1,1,1,A2,1,곽현성,남,50,55,4.67,4.13,13.3,20,40,0.27,3103 2145,0,0,F0L0,0,09,,20,66.7/3,0.0/3,0.0/3,0.0/4,25.0/4,33.3/3,031,5.85,39.6,62.5,서  휘/64,김종목/326,007,4.65,26.7,
2022,1,1,1,2,B1,15,이  인,남,35,55,3.36,2.86,0,14.3,28.6,0.26,5623 4464,0,0,F0L0,0,,,22,40.0/5,0.0/4,0.0/3,66.7/3,0.0/3,0.0/4,061,6.02,40,60,어선규/23,박준호/415,018,5.63,36.7,
2022,1,1,1,3,B1,2,최재원,남,54,60,4.5,4.43,0,14.3,42.9,0.24,5625 3332,0,0,F0L0,0,,,27,50.0/4,25.0/4,0.0/5,33.3/6,0.0/4,0.0/4,018,5.52,40.3,54.8,김태용/13,전두식/13,027,6.07,50,
2022,1,1,1,4,B1,8,송효석,남,42,55,4.43,4.07,14.3,14.3,50,0.23,5536 3534,0,0,F0L0,0,07,,23,25.0/4,20.0/5,50.0/2,25.0/4,25.0/4,0.0/4,082,5.17,32.2,45.8,조규태/14,류해광/35,037,5.37,34.1,
2022,1,1,1,5,B2,2,손근성,남,50,54,5.65,4.71,17.6,41.2,58.8,0.22,4263 1352,0,0,F0L0,0,,,15,66.7/3,66.7/3,100.0/2,0.0/3,0.0/2,0.0/2,132,4.96,34,50,박민영/54,안지민/222,019,4.26,25.6,
2022,1,1,1,6,A2,1,이택근,남,49,60,6.5,6.38,31.3,50,68.8,0.15,4163 4132,0,0,F0L0,0,08,,24,50.0/4,66.7/3,20.0/5,40.0/5,25.0/4,33.3/3,091,5.11,31.7,52.4,양원준/21,김현덕/61,048,4.78,32.7,
2022,1,1,2,1,A2,16,나종호,남,28,62,4.93,4.87,13.3,26.7,40,0.2,5623 1416,0,0,F0L0,0,,,25,80.0/5,66.7/3,25.0/4,0.0/3,0.0/5,0.0/5,033,4.91,33.8,40,이재학/45,한준희/654,074,5.05,30.6,
2022,1,1,2,2,B2,14,고정환,남,35,62,3.47,2.2,6.7,13.3,26.7,0.16,3156 6530,0,0,F0L0,0,,,18,0.0/2,0.0/4,33.3/3,0.0/3,0.0/3,0.0/3,017,5.28,40,60,최영재/56,김희용/035,016,4.56,28.9,
2022,1,1,2,3,B1,15,송효범,남,34,53,3.6,3.2,0,6.7,20,0.15,5244 5546,0,0,F0L0,0,08,,22,33.3/3,0.0/5,0.0/4,0.0/3,0.0/5,0.0/2,106,6.54,46.3,68.3,이용세/24,박원규/13,097,5.13,35.2,
2022,1,1,2,4,A2,11,김지현,여,35,51,6.38,5.97,43.8,43.8,56.3,0.22,3111 5045,0,0,F0L0,0,,,23,75.0/4,75.0/4,25.0/4,25.0/4,50.0/4,33.3/3,021,5.83,37.9,56.9,엄광호/11,강영길/113,079,5.58,34.6,
2022,1,1,2,5,B1,1,김종목,남,48,55,5.6,5.47,13.3,33.3,66.7,0.25,3265 5314,0,0,F0L0,0,09,,23,60.0/5,25.0/4,33.3/3,0.0/3,20.0/5,0.0/3,065,5.14,28.6,51.8,이태희/343,구본선/462,085,4.64,26.8,
2022,1,1,2,6,A1,2,김종민,남,45,56,7.81,7.56,50,62.5,81.3,0.17,1213 1326,0,0,F0L0,0,10,,29,85.7/7,100.0/4,100.0/3,83.3/6,66.7/3,50.0/6,001,6.24,50,65.8,원용관/442,임지훈/64,010,5.12,23.7,
2022,1,1,3,1,B1,1,정인교,남,56,49,3,2.06,12.5,12.5,18.8,0.23,4616 5013,0,0,F0L0,0,11,,22,100.0/2,0.0/4,0.0/5,50.0/4,25.0/4,0.0/3,150,4.76,25.8,41.9,서종원/354,김희용/161,041,7.1,57.5,
2022,1,1,3,2,B2,15,한유형,여,34,52,1.75,1.63,0,0,6.3,0.25,5665 5466,0,0,F0L0,0,,,21,0.0/3,25.0/4,0.0/4,0.0/3,0.0/3,0.0/4,084,5.66,44.7,48.9,김완석/114,박민영/35,103,5.29,35.4,
2022,1,1,3,3,A1,12,류석현,남,36,55,7.93,7.8,33.3,73.3,93.3,0.17,6323 1222,0,0,F0L0,0,,,30,100.0/3,57.1/7,75.0/4,60.0/5,50.0/6,20.0/5,002,4.68,27,46,김선웅/23,최인원/656,006,5.51,41.9,
2022,1,1,3,4,B1,1,윤영근,남,53,58,4.56,4.56,25,25,37.5,0.2,3116 3466,0,0,F0L0,0,,,27,20.0/5,100.0/3,40.0/5,0.0/5,0.0/5,0.0/4,124,4.75,28.3,46.7,박원규/11,김태영/252,025,5.31,36.4,
2022,1,1,3,5,B1,14,이휘동,남,33,55,5.44,5.39,22.2,33.3,55.6,0.2,2114 2536,0,0,F0L0,0,10,,20,25.0/4,66.7/3,33.3/3,0.0/3,0.0/3,25.0/4,089,6.16,44.7,63.2,문주엽/31,최진혁/446,029,4.82,26.3,
2022,1,1,3,6,A1,2,이용세,남,50,56,7.25,7.13,18.8,56.3,81.3,0.16,2423 1242,0,0,F0L0,0,12,,29,100.0/3,60.0/5,50.0/8,80.0/5,50.0/4,25.0/4,062,5.08,31.7,50.8,박준현/622,기광서/121,021,5.74,40,
2022,1,1,4,1,B1,10,임태경,여,34,50,4.47,4.1,6.7,13.3,33.3,0.25,5541 4453,0,0,F0L0,0,10,,20,66.7/3,0.0/3,25.0/4,33.3/3,0.0/4,0.0/3,130,4.91,37,50,홍진수/22,손근성/426,067,5.62,36.7,
2022,1,1,4,2,B1,13,이진우,남,34,53,4.35,4,11.8,23.5,41.2,0.26,6340 6216,0,0,F0L0,0,,,27,75.0/4,100.0/4,25.0/4,0.0/4,25.0/4,0.0/7,115,5.15,30.6,51.6,한  진/22,윤상선/655,051,5.68,39.3,
2022,1,1,4,3,A2,10,이경섭,남,39,59,5.5,5.5,11.1,38.9,61.1,0.19,5226 5233,0,0,F0L0,0,11,,27,100.0/4,33.3/3,60.0/5,60.0/5,40.0/5,0.0/5,087,4.7,25.9,46.3,조성인/102,양원준/132,012,6.32,49.1,
2022,1,1,4,4,A2,15,정세혁,남,29,58,4.27,3.93,6.7,26.7,46.7,0.22,6532 3256,0,0,F0L0,0,13,,26,66.7/3,20.0/5,75.0/4,33.3/6,25.0/4,25.0/4,064,4.79,26.3,42.1,정세혁/65,이지수/0,017,5.64,28.9,
2022,1,1,4,5,B1,16,염윤정,여,34,53,2.73,2.47,0,6.7,20,0.31,3566 5636,0,0,F0L0,0,,,22,0.0/4,25.0/4,0.0/3,0.0/3,0.0/3,0.0/5,140,6.86,52.9,74.5,김종민/12,어선규/12,043,6.31,47.6,
2022,1,1,4,6,B2,11,김현덕,남,38,61,5.69,4.54,15.4,46.2,69.2,0.17,6133 1526,0,0,F0L0,0,,,17,50.0/2,0.0/3,50.0/2,100.0/3,33.3/3,0.0/4,077,5.74,44,56,이종인/24,김현철/66,047,6.42,44.2,
2022,1,1,5,1,B2,16,오상현,남,33,59,1.71,0.5,0,7.1,7.1,0.27,2565 6656,0,0,F0L0,0,,,15,0.0/2,33.3/3,0.0/2,0.0/3,0.0/3,0.0/2,075,5.33,32.8,52.5,사재준/4334,이응석/4435,020,5.43,35.8,
2022,1,1,5,2,A2,7,윤동오,남,39,60,5.29,5.07,14.3,35.7,57.1,0.23,2125 6253,0,0,F0L0,0,12,,24,75.0/4,50.0/2,33.3/6,0.0/4,25.0/4,0.0/4,019,5.92,50,64,김민천/55,이지수/16,026,5.79,42.1,
2022,1,1,5,3,B1,15,김경일,남,34,53,2.93,2.8,0,6.7,13.3,0.24,5664 5555,0,0,F0L0,0,,,22,20.0/5,25.0/4,50.0/2,0.0/3,20.0/5,0.0/3,015,5.75,43.1,60.8,김선웅/221,김승택/323,108,5.07,35.2,
2022,1,1,5,4,B2,14,권혁민,남,37,54,2.43,2.14,0,0,14.3,0.35,6446 6636,0,0,F0L0,0,,,23,33.3/3,0.0/4,0.0/4,0.0/4,0.0/4,0.0/4,040,5.73,35.4,62.5,정민수/36,정승호/44,070,4.34,20.5,
2022,1,1,5,5,A2,4,구현구,남,44,64,5.21,4.64,14.3,21.4,57.1,0.21,1341 3453,0,0,F0L0,0,11,,16,50.0/2,66.7/3,50.0/2,33.3/3,0.0/3,0.0/3,051,5.53,32.7,55.1,전두식/326,윤동오/25,080,5.27,32.1,
2022,1,1,5,6,A1,10,반혜진,여,35,52,6.57,6.43,7.1,42.9,78.6,0.22,1323 3234,0,0,F0L0,0,13,,23,60.0/5,50.0/4,100.0/4,0.0/3,25.0/4,33.3/3,078,6.56,48.7,69.2,류석현/23,박종덕/225,008,5.25,38.6,
2022,1,1,6,1,A2,2,박석문,남,59,55,5.2,5,13.3,26.7,46.7,0.14,3454 2314,0,0,F0L0,0,,,21,100.0/2,50.0/4,60.0/5,25.0/4,0.0/5,0.0/1,020,5.63,38.6,54.4,김동경/44,문주엽/22,015,4.45,20.8,
2022,1,1,6,2,B1,15,한준희,남,28,59,3.67,3.33,6.7,13.3,20,0.3,5565 4164,0,0,F0L0,0,12,,21,0.0/2,20.0/5,0.0/3,0.0/4,0.0/3,0.0/4,053,6.3,45.7,67.4,박진서/65,정세혁/32,076,6.54,53.8,
2022,1,1,6,3,B2,16,손유정,여,31,55,2.29,2.07,0,0,14.3,0.24,3665 3566,0,0,F0L0,0,,,22,0.0/3,0.0/5,0.0/4,0.0/4,0.0/2,0.0/4,080,6.24,45.1,62.7,김민길/15,이미나/513,092,5.29,30.8,
2022,1,1,6,4,A1,3,문안나,여,38,48,6.57,6.57,21.4,50,71.4,0.19,4243 1221,0,0,F0L0,0,,,24,20.0/5,50.0/4,100.0/2,60.0/5,40.0/5,33.3/3,066,6.07,47.8,54.3,문안나/42,김보경/25,004,4.46,30.8,
2022,1,1,6,5,B2,8,이동준,남,37,56,6.35,5.29,11.8,47.1,70.6,0.24,3421 3222,0,0,F0L0,0,,,15,100.0/2,50.0/2,33.3/3,33.3/3,33.3/3,50.0/2,074,7.64,64.3,83.3,김응선/01,주은석/511,090,5.63,38.5,
