Year,Boat_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2018,1,51,73,17,11,14,5.82,38.4,1:51.857,1:32.109,1:16.604
2018,2,52,65,13,12,11,5.63,38.5,1:53.830,1:32.926,1:15.670
2018,3,50,46,4,5,2,3.65,19.6,1:57.779,1:35.517,1:16.350
2018,4,44,62,8,12,10,5,32.3,1:56.216,1:34.596,1:16.846
2018,5,52,80,18,14,8,5.28,40,1:51.008,1:34.234,1:15.497
2018,6,52,81,10,14,13,4.91,29.6,1:52.410,1:36.084,1:15.228
2018,7,52,82,18,12,18,5.78,36.6,1:52.416,1:33.546,1:15.166
2018,8,52,82,13,10,9,4.62,28,1:54.758,1:35.177,1:15.936
2018,9,52,66,10,12,13,5.35,33.3,1:55.030,1:32.114,1:14.623
2018,10,52,53,5,12,10,5.08,32.1,1:54.448,1:36.772,1:15.843
2018,11,51,71,13,13,9,5.35,36.6,1:53.696,1:33.679,1:16.007
2018,12,44,52,7,9,11,5.35,30.8,1:54.701,1:34.740,1:16.296
2018,13,52,91,18,8,13,4.76,28.6,1:53.354,1:33.809,1:15.342
2018,14,52,76,14,14,13,5.45,36.8,1:53.489,1:35.330,1:15.173
2018,15,52,64,6,8,14,4.72,21.9,1:55.396,1:34.670,1:17.135
2018,16,52,83,16,14,15,5.49,36.1,1:52.503,1:33.190,1:15.002
2018,17,52,82,11,14,10,4.67,30.5,1:54.236,1:34.199,1:15.505
2018,18,52,57,8,4,8,4,21.1,1:54.348,1:33.218,1:15.344
2018,19,52,74,15,13,16,5.61,37.8,1:51.037,1:32.028,1:14.147
2018,20,51,71,9,21,10,5.46,42.3,1:52.712,1:35.021,1:15.428
2018,21,52,78,19,12,10,5.5,39.7,1:53.628,1:34.933,1:15.237
2018,22,52,51,5,16,9,5.47,41.2,1:54.030,1:35.018,1:15.744
2018,23,52,54,11,13,6,5.72,44.4,1:55.553,1:34.525,1:15.687
2018,24,52,61,7,10,12,4.66,27.9,1:54.873,1:35.885,1:15.106
2018,25,52,73,12,15,20,5.82,37,1:51.913,1:34.907,1:16.926
2018,26,52,60,4,7,10,4.25,18.3,1:54.579,1:33.138,1:15.337
2018,27,52,58,17,9,9,6.17,44.8,1:52.604,1:33.556,1:13.945
2018,28,44,63,12,11,13,5.67,36.5,1:54.069,1:34.908,1:16.832
2018,29,52,78,17,9,12,5.19,33.3,1:54.787,1:32.230,1:15.533
2018,30,52,72,13,9,13,5.25,30.6,1:53.611,1:33.383,1:15.375
2018,31,52,77,21,14,10,6.04,45.5,1:53.633,1:34.142,1:15.075
2018,32,52,88,11,18,23,5.49,33,1:52.899,1:34.488,1:15.478
2018,33,52,73,17,8,9,5.29,34.2,1:52.009,1:33.831,1:14.418
2018,34,52,72,17,12,10,5.61,40.3,1:52.543,1:35.392,1:14.945
2018,35,38,56,6,11,7,4.59,30.4,1:56.957,1:36.387,1:16.785
2018,36,43,51,14,5,8,6,37.3,1:53.674,1:36.720,1:16.201
2018,37,52,88,17,10,19,5.22,30.7,1:51.134,1:33.312,1:15.083
2018,38,52,80,12,18,13,5.4,37.5,1:53.293,1:34.189,1:14.754
2018,39,52,65,13,11,14,5.48,36.9,1:55.465,1:34.590,1:14.665
2018,40,52,81,11,12,8,4.56,28.4,1:55.259,1:35.148,1:15.990
2018,41,50,75,20,15,16,6.44,46.7,1:52.145,1:33.508,1:14.272
2018,42,50,68,16,13,15,6.18,42.6,1:52.955,1:31.597,1:14.645
2018,43,48,73,12,13,15,5.38,34.2,1:54.157,1:33.529,1:15.761
2018,44,51,79,18,9,15,5.27,34.2,1:52.022,1:32.692,1:13.953
2018,45,45,58,8,9,13,5,29.3,1:53.875,1:34.523,1:16.113
2018,46,51,64,9,10,11,4.73,29.7,1:52.115,1:32.026,1:14.540
2018,47,52,72,8,10,10,4.47,25,1:54.622,1:35.694,1:16.608
2018,48,52,87,16,14,12,5.08,34.5,1:54.962,1:35.258,1:14.708
2018,49,52,74,15,10,11,5.07,33.8,1:52.626,1:33.244,1:14.229
2018,50,52,85,14,9,14,4.76,27.1,1:52.718,1:37.012,1:15.519
2018,51,52,74,16,9,10,5.46,33.8,1:52.489,1:33.190,1:15.116
2018,52,51,74,12,11,16,5.53,31.1,1:53.113,1:35.249,1:15.932
