연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2024,34,2,01R,⑥ 김태훈,② 이현준,③ 김미연,(6) 28.6,"(6) 11.3, (2) 1.6",(6-2) 148.2,(6-2) 33.2,(6-2-3) 39.0,(6-2-3) 613.9,(6-2-3) 804.8,
2024,34,2,02R,① 김종목,③ 이경섭,④ 이주영,(1) 1.5,"(1) 1.2, (3) 7.2",(1-3) 15.4,(1-3) 12.9,(1-3-4) 10.6,(1-3-4) 16.1,(1-3-4) 34.7,
2024,34,2,03R,② 이동준,① 정훈민,-,(2) 1.1,([]) 1.0,([]-[]) 1.0,([]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,([]-[]-[]) 1.0,③ ④ ⑤ ⑥
2024,34,2,04R,③ 이승일,⑤ 양원준,④ 이수빈,(3) 2.0,"(3) 1.2, (5) 3.5",(3-5) 5.7,(3-5) 6.9,(3-5-4) 37.0,(3-5-4) 37.9,(3-5-4) 87.1,
2024,34,2,05R,① 김도휘,④ 류석현,⑥ 구현구,(1) 1.7,"(1) 1.3, (4) 1.4",(1-4) 4.9,(1-4) 3.0,(1-4-6) 6.2,(1-4-6) 10.2,(1-4-6) 14.8,
2024,34,2,06R,② 김기한,① 신현경,③ 이진우,(2) 15.5,"(2) 5.2, (1) 1.4",(2-1) 49.0,(2-1) 14.0,(2-1-3) 4.5,(2-1-3) 50.3,(2-1-3) 100.4,
2024,34,2,07R,② 정승호,① 정용진,⑤ 김영민,(2) 6.8,"(2) 1.3, (1) 1.0",(2-1) 12.2,(2-1) 2.1,(2-1-5) 10.0,(2-1-5) 69.6,(2-1-5) 77.6,
2024,34,2,08R,② 홍진수,④ 김동경,① 장수영,(2) 1.9,"(2) 1.1, (4) 2.4",(2-4) 9.5,(2-4) 8.1,(2-4-1) 2.4,(2-4-1) 6.5,(2-4-1) 17.7,
2024,34,2,09R,① 김민길,② 이 인,④ 나종호,(1) 1.1,"(1) 1.1, (2) 1.7",(1-2) 2.4,(1-2) 1.9,(1-2-4) 2.2,(1-2-4) 2.6,(1-2-4) 4.9,
2024,34,2,10R,③ 이상문,④ 이택근,⑥ 어선규,(3) 8.3,"(3) 2.6, (4) 1.7",(3-4) 18.2,(3-4) 7.5,(3-4-6) 5.5,(3-4-6) 25.3,(3-4-6) 44.9,
2024,34,2,11R,② 최진혁,③ 한종석,⑥ 이동준,(2) 5.2,"(2) 1.5, (3) 1.0",(2-3) 5.7,(2-3) 2.0,(2-3-6) 2.8,(2-3-6) 11.0,(2-3-6) 12.7,
2024,34,2,12R,② 곽현성,③ 김지영,⑤ 한 운,(2) 1.3,"(2) 1.0, (3) 2.1",(2-3) 2.6,(2-3) 2.3,(2-3-5) 4.2,(2-3-5) 4.4,(2-3-5) 6.1,
2024,34,2,13R,① 구현구,⑥ 정용진,② 양원준,(1) 1.2,"(1) 1.0, (6) 1.8",(1-6) 3.6,(1-6) 2.7,(1-6-2) 3.3,(1-6-2) 4.0,(1-6-2) 8.5,
2024,34,2,14R,② 김민준,① 김지현,④ 박진서,(2) 2.0,"(2) 1.1, (1) 1.7",(2-1) 4.4,(2-1) 2.1,(2-1-4) 3.9,(2-1-4) 7.1,(2-1-4) 11.1,
2024,34,2,15R,① 박원규,② 길현태,③ 심상철,(1) 1.3,"(1) 1.1, (2) 1.8",(1-2) 2.4,(1-2) 1.6,(1-2-3) 3.2,(1-2-3) 4.7,(1-2-3) 6.9,
2024,34,2,16R,④ 김민길,② 정주현,① 김창규,(4) 3.1,"(4) 1.6, (2) 2.0",(4-2) 12.7,(4-2) 5.2,(4-2-1) 1.7,(4-2-1) 7.2,(4-2-1) 20.3,
2024,34,2,17R,① 류석현,⑥ 권명호,② 김채현,(1) 1.1,"(1) 1.0, (6) 7.2",(1-6) 6.0,(1-6) 5.1,(1-6-2) 15.2,(1-6-2) 15.8,(1-6-2) 40.0,
2024,34,1,01R,⑤ 이현준,⑥ 임 건,② 박지윤,(5) 6.3,"(5) 2.2, (6) 8.2",(5-6) 50.1,(5-6) 42.1,(5-6-2) 56.3,(5-6-2) 151.1,(5-6-2) 221.6,
