연도,회차,일차,경주번호,번호,등급,기수,선수명,성별,나이,체중,최근6회차_평균착순점,최근6회차_평균득점,최근6회차_승률,최근6회차_연대율2,최근6회차_연대율3,최근6회차_평균ST,최근8경주_착순,연간성적_평균착순점,연간성적_연대율,FL,평균사고점,금일출주경주,전일성적,출주횟수,코스_1코스,코스_2코스,코스_3코스,코스_4코스,코스_5코스,코스_6코스,모터번호,모터_평균착순점,모터_연대율2,모터_연대율3,전탑승선수1,전탑승선수2,보트번호,보트_평균착순점,보트_연대율,특이사항
2018,1,1,1,1,A2,10,김완석,남,36,56,5.56,5.12,12.5,31.3,62.5,0.28,2333 2654,0,0,F0L0,0,,,21,100.0/2,40.0/5,0.0/3,66.7/3,0.0/5,66.7/3,015,5.98,44.1,60.9,정종훈/264,주은석/13,007,5.69,38.3,
2018,1,1,1,2,A2,1,서화모,남,44,57,5.21,5.21,0,21.4,71.4,0.27,3555 3622,0,0,F0L0,0,12,,24,50.0/4,50.0/4,66.7/3,0.0/3,0.0/5,20.0/5,034,6.16,47.3,64.3,손지영/121,김동경/42,101,4.87,27.6,
2018,1,1,1,3,B2,4,경상수,남,47,58,3.87,3.8,0,13.3,40,0.31,3635 6235,0,0,F0L0,0,,,19,100.0/3,50.0/4,0.0/2,0.0/2,0.0/5,0.0/3,042,5.76,41.9,54.2,권일혁/15,곽현성/112,006,5.74,41.9,
2018,1,1,1,4,B1,1,김대선,남,48,53,4.57,4.46,14.3,21.4,42.9,0.31,3412 6464,0,0,F0L0,0,11,,24,80.0/5,25.0/4,50.0/4,0.0/3,0.0/3,0.0/5,156,4.66,27.7,45,정훈민/646,김도휘/55,109,4.85,30.5,
2018,1,1,1,5,B1,8,김민길,남,39,58,4.12,4,5.9,11.8,29.4,0.28,5464 3655,0,0,F0L0,0,08,,25,33.3/3,33.3/3,25.0/4,0.0/4,0.0/5,16.7/6,016,4.56,24,43.7,김태용/66,강지환/45,018,5.17,29.8,
2018,1,1,1,6,A2,3,박설희,여,36,55,6.44,6.38,22.2,50,66.7,0.28,1113 2253,0,0,F0L0,0,09,,32,50.0/6,66.7/6,33.3/6,16.7/6,50.0/4,0.0/4,098,7.02,58.4,74.4,구본수/315,민영건/241,062,5.54,35.1,
2018,1,1,2,1,A1,4,민영건,남,42,57,6.83,6.83,33.3,50,66.7,0.26,1325 1412,0,0,F0L0,0,10,,43,85.7/7,77.8/9,62.5/8,33.3/6,25.0/8,0.0/5,057,5.65,40.5,60.5,민영건/132,박준현/56,052,5.77,35.1,
2018,1,1,2,2,A2,2,이용세,남,46,57,6.84,6.79,36.8,57.9,68.4,0.27,1146 2211,0,0,F0L0,0,13,,34,66.7/6,33.3/6,80.0/5,40.0/5,20.0/5,28.6/7,030,4.98,32.2,45.6,김영민/2451,강영길/65,061,4.85,33.5,
2018,1,1,2,3,B2,1,정민수,남,43,60,4.33,3.61,22.2,22.2,33.3,0.21,0561 4356,0,0,F0L0,0,,,22,25.0/4,66.7/3,60.0/5,33.3/3,25.0/4,0.0/3,121,6.13,44.9,62.5,오세준/15,김태규/15,098,4.99,29.5,F 후 출전
2018,1,1,2,4,B2,14,문성현,남,27,64,1.59,1.15,0,0,0,0.22,5054 5565,0,0,F0L0,0,,,19,0.0/2,0.0/4,33.3/3,0.0/3,0.0/3,0.0/4,008,5.66,35.7,57.7,김정구/24,김태용/641,038,5.74,39.7,
2018,1,1,2,5,A1,1,이응석,남,47,58,6.82,6.17,29.4,52.9,70.6,0.14,2312 3450,0,0,F0L0,0,09,,34,100.0/4,66.7/6,80.0/5,57.1/7,50.0/6,16.7/6,147,6.44,49,63.9,원용관/434,이재학/562,080,5.74,40.6,
2018,1,1,2,6,B2,4,지현욱,남,40,58,2.81,2.64,0,4.8,23.8,0.22,5665 5562,0,0,F0L0,0,11,,42,57.1/7,25.0/8,14.3/7,0.0/7,16.7/6,14.3/7,078,4.77,29.5,44.3,장수영/321,반혜진/632,075,5.2,34.6,
2018,1,1,3,1,B1,3,이지수,여,38,57,5.44,5.31,18.8,37.5,50,0.23,2311 5145,0,0,F0L0,0,11,,29,0.0/5,66.7/6,60.0/5,25.0/4,0.0/4,0.0/5,032,5.59,36.7,54.8,문주엽/433,손동민/42,067,4.84,32.3,
2018,1,1,3,2,B2,14,구본선,남,27,55,3.31,2.84,6.3,12.5,18.8,0.27,2534 5156,0,0,F0L0,0,,,15,0.0/3,0.0/1,0.0/3,33.3/3,50.0/2,0.0/3,023,4.79,25.5,48.3,배혜민/313,서화모/333,066,4.8,27,
2018,1,1,3,3,B2,8,전두식,남,38,58,3.15,2.27,0,7.7,15.4,0.24,0462 5634,0,0,F0L0,0,,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,004,6.36,49.1,65.1,서종원/555,유석현/311,030,5.3,36.9,F 후 출전
2018,1,1,3,4,A2,1,우진수,남,42,55,4.74,4.71,15.8,31.6,42.1,0.26,3462 6256,0,0,F0L0,0,14,,47,90.0/10,25.0/8,14.3/7,50.0/6,0.0/7,11.1/9,157,5.74,39.6,59.2,심상철/111,서종원/131,072,5.22,31.4,
2018,1,1,3,5,A2,7,장수영,남,38,55,6.15,6.02,20,40,60,0.27,3214 1234,0,0,F0L0,0,10,,34,100.0/5,75.0/4,25.0/8,16.7/6,33.3/6,20.0/5,141,5.21,27.5,49.7,김민길/546,문안나/44,092,5.28,35.1,
2018,1,1,3,6,A1,6,손지영,여,33,51,7.79,7.5,42.9,78.6,78.6,0.24,2212 1422,0,0,F0L0,0,12,,30,83.3/6,100.0/4,60.0/5,25.0/4,33.3/6,20.0/5,145,4.76,21.8,44,김기한/45,이창규/344,088,5.4,36,
2018,1,1,4,1,B2,1,이택근,남,45,61,4.47,4.3,6.7,26.7,46.7,0.26,4546 6636,0,0,F0L0,0,13,,19,33.3/3,0.0/2,0.0/3,20.0/5,0.0/5,0.0/1,093,4.68,27,41.6,서화모/355,김종목/22,043,5.42,34.4,
2018,1,1,4,2,A1,8,한종석,남,35,57,6.47,6.23,21.1,47.4,73.7,0.28,6242 1331,0,0,F0L0,0,11,,36,83.3/6,85.7/7,42.9/7,66.7/6,33.3/6,0.0/4,080,5.67,34.7,56,김정구/642,윤영근/54,100,5.52,40.3,
2018,1,1,4,3,A1,12,유석현,남,32,56,7.44,7.31,50,62.5,68.8,0.21,2631 1112,0,0,F0L0,0,12,,43,71.4/7,88.9/9,75.0/8,50.0/6,33.3/6,0.0/7,031,7.18,60.2,78.8,김희용/63,정종훈/433,015,5.34,33.7,
2018,1,1,4,4,B2,2,김기한,남,45,55,3.93,3.8,13.3,20,26.7,0.22,1244 5553,0,0,F0L0,0,,,23,25.0/4,0.0/3,33.3/3,40.0/5,20.0/5,33.3/3,150,4.61,26.1,43,나병창/322,김국흠/54,104,5.54,37.4,
2018,1,1,4,5,B1,12,한성근,남,31,57,6.54,5.73,23.1,46.2,69.2,0.26,2324 4132,0,0,F0L0,0,,,18,66.7/3,66.7/3,33.3/3,100.0/2,66.7/3,0.0/4,114,7.45,67,79.5,박원규/111,지용민/64,021,5.08,29.3,
2018,1,1,4,6,B1,8,정주현,남,34,51,3.43,2.72,0,7.1,35.7,0.31,5366 6542,0,0,F0L0,0,,,20,0.0/3,66.7/3,100.0/3,0.0/4,0.0/3,0.0/4,053,4.84,29.7,43.8,김기한/124,심상철/221,017,5.96,42,
2018,1,1,5,1,B1,14,박원규,남,25,57,6.63,6.57,31.3,50,75,0.2,2133 6231,0,0,F0L0,0,,,30,28.6/7,40.0/5,40.0/5,20.0/5,0.0/2,16.7/6,132,7.08,61.9,72.6,심상철/111,기광서/356,102,5.12,33.2,
2018,1,1,5,2,A2,11,김지현,여,31,47,5.65,5.59,11.8,41.2,64.7,0.26,2641 2516,0,0,F0L0,0,,,30,20.0/5,100.0/6,50.0/4,25.0/4,0.0/6,20.0/5,019,6.64,51.7,70.1,이지수/231,박정아/511,068,6.04,43.4,
2018,1,1,5,3,B2,4,박상현,남,39,60,3.77,3.77,0,7.7,30.8,0.25,6253 4554,0,0,F0L0,0,,,19,25.0/4,0.0/2,0.0/3,0.0/3,33.3/3,0.0/4,146,6.34,44.7,64.2,최재원/511,민영건/5141,019,5.32,37.6,
2018,1,1,5,4,A2,14,이휘동,남,29,55,6.5,6.28,27.8,27.8,77.8,0.27,1134 3135,0,0,F0L0,0,14,,23,75.0/4,0.0/5,0.0/3,25.0/4,25.0/4,0.0/3,084,6.8,55.5,70.7,박설희/111,이경섭/252,107,5.66,39.7,
2018,1,1,5,5,A1,2,최광성,남,44,58,8.39,8.33,55.6,83.3,83.3,0.19,2111 2121,0,0,F0L0,0,,,38,100.0/6,100.0/5,85.7/7,50.0/8,20.0/5,28.6/7,116,6.58,49.1,66.3,김대선/341,김세원/513,008,5.73,42.6,
2018,1,1,5,6,B2,1,김명진,남,49,57,3.73,3.63,6.7,13.3,40,0.35,5251 6663,0,0,F0L0,0,,,22,50.0/4,50.0/4,25.0/4,0.0/3,0.0/4,33.3/3,021,6.39,49.5,64.8,김완석/23,나병창/1122,057,4.81,32,
2018,1,1,6,1,A2,4,원용관,남,43,58,5.53,5.47,11.8,41.2,47.1,0.28,4342 4245,0,0,F0L0,0,,,23,100.0/4,50.0/4,25.0/4,60.0/5,33.3/3,0.0/3,155,6.03,43.2,62.2,이용세/114,사재준/46,013,4.89,30.5,
2018,1,1,6,2,B2,2,김선필,남,41,57,3.5,3.44,0,0,31.3,0.29,6463 5434,0,0,F0L0,0,,,19,50.0/4,50.0/2,0.0/4,0.0/1,25.0/4,0.0/4,124,4.87,32.3,47.4,김재윤/66,황이태/225,087,5,33.6,
2018,1,1,6,3,A1,11,김응선,남,33,55,8.67,8.61,61.1,66.7,94.4,0.21,1114 1313,0,0,F0L0,0,,,26,66.7/3,75.0/4,33.3/6,50.0/4,25.0/4,40.0/5,102,5.06,31.8,50.3,경상수/363,김지현/26,055,5.81,42.7,
2018,1,1,6,4,A2,2,김민천,남,42,56,6.44,6.3,22.2,55.6,55.6,0.3,6242 2112,0,0,F0L0,0,,,32,100.0/6,40.0/5,40.0/5,60.0/5,33.3/6,20.0/5,129,6.27,44.6,69.7,이태희/331,한성근/232,035,5.29,31.9,
2018,1,1,6,5,A2,4,신동길,남,40,59,5.38,5.38,23.1,30.8,46.2,0.27,1533 6462,0,0,F0L0,0,,,19,33.3/3,50.0/4,0.0/3,33.3/3,33.3/3,33.3/3,106,5.67,41.1,58.9,김도휘/205,권명호/43,005,6.07,48.1,
2018,1,1,6,6,A1,1,이태희,남,47,59,7.74,7.74,26.3,73.7,89.5,0.3,3311 5422,0,0,F0L0,0,13,,38,100.0/5,75.0/8,50.0/6,42.9/7,66.7/6,33.3/6,088,4.61,25.1,41.5,이택근/45,이태희/154,033,5.89,41.6,
2018,1,1,7,1,B2,11,기광서,남,34,58,4.81,4.62,12.5,25,43.8,0.23,2455 1451,0,0,F0L0,0,,,21,33.3/3,50.0/2,0.0/4,25.0/4,25.0/4,0.0/4,122,6.09,47.5,60.1,김현철/5122,이지수/15,089,6.25,47.6,
2018,1,1,7,2,B1,1,오세준,남,43,63,5.5,4.97,12.5,25,56.3,0.3,1543 3324,0,0,F0L0,0,,,25,66.7/3,40.0/5,20.0/5,0.0/5,33.3/3,0.0/4,061,5.41,36.8,53.8,김민준/243,최재원/43,085,5.55,40.1,
2018,1,1,7,3,A2,1,한  진,남,42,60,5,4.97,16.7,33.3,50,0.3,4211 3162,0,0,F0L0,0,,,34,40.0/5,60.0/5,50.0/6,50.0/6,14.3/7,40.0/5,112,5.42,35.1,54.5,한  진/421,이창규/534,070,5.33,35.5,
2018,1,1,7,4,B1,7,윤동오,남,35,60,3.43,3.32,0,14.3,28.6,0.31,6652 6352,0,0,F0L0,0,,,26,66.7/3,20.0/5,40.0/5,0.0/4,0.0/3,0.0/6,044,8.08,76.4,84.5,문성현/55,박진서/112,086,5.22,33,
2018,1,1,7,5,B2,14,김성찬,남,31,58,2.2,2.13,0,0,6.7,0.31,5644 5655,0,0,F0L0,0,14,,17,0.0/3,0.0/2,0.0/4,33.3/3,0.0/4,0.0/1,017,6.65,50,70.6,사재준/13,최광성/211,039,5.22,35.6,
2018,1,1,7,6,B1,11,김선웅,남,34,63,5,4.93,13.3,33.3,46.7,0.22,3344 2542,0,0,F0L0,0,,,21,100.0/4,0.0/4,25.0/4,0.0/3,50.0/4,0.0/2,076,5.52,37.1,54.5,이경섭/223,우진수/34,028,5.15,32.1,
2018,1,1,8,1,B1,9,김지훈,남,32,61,4.69,4.13,12.5,25,50,0.28,6554 6243,0,0,F0L0,0,,,22,60.0/5,0.0/3,25.0/4,75.0/4,0.0/3,0.0/3,135,5.09,27.5,51.1,이창규/22,한종석/6242,022,5.04,29.3,
2018,1,1,8,2,B1,8,김민길,남,39,58,4.12,4,5.9,11.8,29.4,0.28,5464 3655,0,0,F0L0,0,01,,25,33.3/3,33.3/3,25.0/4,0.0/4,0.0/5,16.7/6,016,4.56,24,43.7,김태용/66,강지환/45,018,5.17,29.8,
2018,1,1,8,3,B2,14,조규태,남,32,56,2.93,2.82,0,7.1,28.6,0.24,6543 2366,0,0,F0L0,0,,,22,25.0/4,0.0/4,0.0/4,0.0/3,0.0/3,0.0/4,139,4.79,29.1,47.4,윤영근/52,정종훈/643,103,5.33,37.4,
2018,1,1,8,4,B1,7,황이태,남,38,59,5.67,5.54,6.7,40,66.7,0.23,2252 3526,0,0,F0L0,0,,,18,66.7/3,66.7/3,50.0/2,33.3/3,0.0/4,33.3/3,024,4.73,28.2,41,문안나/43,이진우/433,058,5.16,31.1,
2018,1,1,8,5,B2,1,강창효,남,45,59,5.4,4.57,26.7,46.7,53.3,0.19,0642 6361,0,0,F0L0,0,,,17,33.3/3,50.0/4,50.0/2,33.3/3,0.0/2,0.0/3,077,6.65,48.8,71.8,신동길/15,김종민/621,095,5.1,31,F 후 출전
2018,1,1,8,6,B2,13,최진혁,남,34,57,2.2,1.87,0,0,13.3,0.29,0356 6466,0,0,F0L0,0,,,21,25.0/4,0.0/2,33.3/3,0.0/4,25.0/4,0.0/4,007,6.61,50.7,70,구본선/253,김강현/36,049,5.91,46.4,
2018,1,1,9,1,B1,5,최영재,남,38,58,5,4.73,20,26.7,53.3,0.25,3130 4266,0,0,F0L0,0,,,21,66.7/3,50.0/4,50.0/2,25.0/4,66.7/3,20.0/5,154,5.97,41.7,60.4,여현창/35,반혜진/251,010,5.38,32.3,
2018,1,1,9,2,A1,1,이응석,남,47,58,6.82,6.17,29.4,52.9,70.6,0.14,2312 3450,0,0,F0L0,0,02,,34,100.0/4,66.7/6,80.0/5,57.1/7,50.0/6,16.7/6,147,6.44,49,63.9,원용관/434,이재학/562,080,5.74,40.6,
2018,1,1,9,3,B2,12,임정택,남,31,58,4,3.97,0,20,40,0.29,4665 6623,0,0,F0L0,0,,,21,33.3/3,0.0/4,25.0/4,0.0/3,33.3/3,25.0/4,130,5.79,43.2,57.3,송효석/422,김종목/265,045,6.05,44.4,
2018,1,1,9,4,A2,3,박설희,여,36,55,6.44,6.38,22.2,50,66.7,0.28,1113 2253,0,0,F0L0,0,01,,32,50.0/6,66.7/6,33.3/6,16.7/6,50.0/4,0.0/4,098,7.02,58.4,74.4,구본수/315,민영건/241,062,5.54,35.1,
2018,1,1,9,5,B2,7,류해광,남,34,60,3.41,3.41,11.8,17.6,23.5,0.25,5465 6655,0,0,F0L0,0,,,27,75.0/4,50.0/4,25.0/4,20.0/5,0.0/6,25.0/4,097,7.84,70.5,81.3,김선웅/21,배혜민/21,031,5.07,30.8,
