연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2019,49,2,01R,② 유석현,⑤ 문성현,③ 한종석,(2) 2.7,"(2) 1.6, (5) 1.4",(2-5) 8.8,(2-5) 4.2,(2-5-3) 2.0,(2-5-3) 5.5,(2-5-3) 18.0,
2019,49,2,02R,④ 김민준,⑤ 이용세,① 이 인,(4) 1.1,"(4) 1.0, (5) 1.8",(4-5) 1.7,(4-5) 1.7,(4-5-1) 4.7,(4-5-1) 4.8,(4-5-1) 6.5,
2019,49,2,03R,③ 김현철,⑤ 신현경,② 이진휘,(3) 1.4,"(3) 1.2, (5) 1.2",(3-5) 3.4,(3-5) 2.0,(3-5-2) 2.0,(3-5-2) 3.5,(3-5-2) 6.1,
2019,49,2,04R,③ 최광성,④ 심상철,① 김태규,(3) 2.4,"(3) 1.3, (4) 1.2",(3-4) 5.4,(3-4) 2.7,(3-4-1) 1.4,(3-4-1) 4.2,(3-4-1) 8.8,
2019,49,2,05R,④ 기광서,② 원용관,① 어선규,(4) 1.3,"(4) 1.2, (2) 5.9",(4-2) 8.4,(4-2) 7.5,(4-2-1) 1.7,(4-2-1) 2.5,(4-2-1) 15.7,
2019,49,2,06R,③ 최진혁,⑥ 김인혜,① 박원규,(3) 1.8,"(3) 1.1, (6) 5.3",(3-6) 11.6,(3-6) 11.9,(3-6-1) 2.8,(3-6-1) 7.5,(3-6-1) 25.8,
2019,49,2,07R,⑤ 양원준,③ 김지현,② 이동준,(5) 47.6,"(5) 12.3, (3) 3.8",(5-3) 152.9,(5-3) 43.0,(5-3-2) 25.0,(5-3-2) 318.0,(5-3-2) 527.5,
2019,49,2,08R,④ 서 휘,① 강영길,② 김동민,(4) 10.9,"(4) 2.1, (1) 1.4",(4-1) 13.8,(4-1) 4.8,(4-1-2) 1.6,(4-1-2) 14.4,(4-1-2) 23.4,
2019,49,2,09R,③ 김도휘,④ 한종석,② 김민천,(3) 3.3,"(3) 1.3, (4) 2.0",(3-4) 10.1,(3-4) 8.3,(3-4-2) 1.6,(3-4-2) 7.0,(3-4-2) 18.4,
2019,49,2,10R,④ 이진우,① 문성현,② 박설희,(4) 1.5,"(4) 1.1, (1) 1.3",(4-1) 2.9,(4-1) 1.4,(4-1-2) 2.3,(4-1-2) 4.0,(4-1-2) 5.6,
2019,49,2,11R,③ 심상철,② 강창효,⑥ 김대선,(3) 2.6,"(3) 1.5, (2) 1.5",(3-2) 5.4,(3-2) 2.4,(3-2-6) 9.0,(3-2-6) 20.2,(3-2-6) 30.4,
2019,49,2,12R,② 신현경,④ 송효석,③ 원용관,(2) 1.3,"(2) 1.0, (4) 1.8",(2-4) 3.8,(2-4) 2.7,(2-4-3) 1.9,(2-4-3) 2.3,(2-4-3) 6.7,
2019,49,2,13R,① 박종덕,⑤ 김승택,④ 유석현,(1) 1.7,"(1) 1.0, (5) 3.4",(1-5) 10.8,(1-5) 8.7,(1-5-4) 2.4,(1-5-4) 4.2,(1-5-4) 20.0,
2019,49,2,14R,② 김희용,③ 김민준,① 박정아,(2) 3.1,"(2) 1.5, (3) 1.7",(2-3) 9.9,(2-3) 5.7,(2-3-1) 5.2,(2-3-1) 17.3,(2-3-1) 36.6,
