Year,Motor_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2023,1,52,196,44,41,32,5.91,43.4,-,1:31.455,1:12.367
2023,2,52,273,58,48,50,5.63,38.8,-,1:29.985,1:12.617
2023,3,52,213,26,32,32,4.6,27.2,-,1:31.846,1:13.042
2023,5,52,290,36,50,53,4.98,29.7,-,1:31.178,1:12.259
2023,7,52,281,67,47,52,5.72,40.6,-,1:30.925,1:12.109
2023,12,52,249,27,32,48,4.57,23.7,-,1:31.241,1:13.354
2023,14,52,261,67,46,44,5.92,43.3,-,1:30.302,1:11.965
2023,15,51,187,48,34,40,6.19,43.9,-,1:30.881,1:12.334
2023,16,52,204,22,31,33,4.51,26,-,1:32.572,1:12.510
2023,17,52,294,43,42,61,5.07,28.9,-,1:31.921,1:12.969
2023,18,25,218,44,35,36,5.36,36.2,-,1:32.010,1:12.148
2023,19,28,167,27,47,28,5.83,44.3,-,1:30.286,1:11.665
2023,20,52,203,43,37,38,5.75,39.4,-,1:31.341,1:12.392
2023,21,52,251,67,31,47,5.85,39,-,1:30.126,1:12.359
2023,24,52,259,57,61,34,5.9,45.6,-,1:29.512,1:12.354
2023,25,52,297,53,50,55,5.43,34.7,-,1:30.202,1:12.314
2023,26,52,242,54,49,37,5.69,42.6,-,1:31.192,1:12.302
2023,27,52,229,38,34,39,4.95,31.4,-,1:30.613,1:12.936
2023,28,52,301,57,52,50,5.41,36.2,-,1:30.837,1:12.219
2023,29,44,135,12,20,14,4.06,23.7,-,1:33.847,1:12.999
2023,30,52,220,47,39,36,5.65,39.1,-,1:31.079,1:11.989
2023,31,51,181,48,38,29,6.23,47.5,-,1:29.615,1:12.222
2023,33,52,278,38,58,38,5.02,34.5,-,1:29.993,1:12.550
2023,35,52,266,28,44,40,4.65,27.1,-,1:31.173,1:13.306
2023,36,52,258,51,41,43,5.35,35.7,-,1:30.036,1:12.440
2023,38,19,192,28,27,28,4.64,28.6,-,1:31.963,1:12.332
2023,40,52,252,46,42,35,5.13,34.9,-,1:29.785,1:12.393
2023,42,52,259,39,42,35,4.85,31.3,-,1:32.170,1:12.904
2023,44,52,223,29,37,33,4.69,29.6,-,1:31.707,1:12.904
2023,45,17,213,37,30,42,5.16,31.5,-,1:30.927,1:12.455
2023,46,52,289,48,47,58,5.22,32.9,-,1:30.265,1:12.465
2023,47,52,244,43,36,36,5.05,32.4,-,1:31.212,1:12.773
2023,48,52,296,40,59,46,5.06,33.4,-,1:30.388,1:12.400
2023,49,52,262,31,49,40,4.78,30.5,-,1:30.548,1:12.625
2023,51,52,282,40,36,52,4.74,27,-,1:31.266,1:12.180
2023,52,52,292,54,51,49,5.39,36,-,1:31.469,1:13.006
2023,53,52,274,55,51,42,5.49,38.7,-,1:30.876,1:12.662
2023,54,52,254,32,37,44,4.75,27.2,-,1:32.203,1:12.781
2023,56,44,125,10,12,23,4.07,17.6,-,1:32.965,1:13.431
2023,59,52,271,31,46,35,4.6,28.4,-,1:32.328,1:12.520
2023,60,52,280,38,45,51,4.91,29.6,-,1:31.426,1:12.894
2023,61,32,238,49,31,39,5.18,33.6,-,1:31.055,1:11.991
2023,62,52,280,27,46,42,4.56,26.1,-,1:31.549,1:12.316
