Year,Boat_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2016,1,48,86,14,12,19,5.41,30.2,1:53.940,1:34.554,1:15.243
2016,2,48,97,21,17,19,5.96,39.2,1:53.421,1:34.270,1:16.354
2016,3,48,83,20,8,12,5.18,33.7,1:51.972,1:33.636,1:17.392
2016,4,45,89,21,12,15,5.45,37.1,1:53.883,1:39.955,1:15.552
2016,5,48,93,23,20,10,5.71,46.2,1:51.037,1:33.602,1:17.301
2016,6,45,96,22,15,17,5.63,38.5,1:50.973,1:34.240,1:15.532
2016,7,48,92,21,19,19,6,43.5,1:51.768,1:37.580,1:14.011
2016,8,48,85,20,14,18,5.85,40,1:51.439,1:38.079,1:16.482
2016,9,48,81,13,13,20,5.52,32.1,1:56.021,1:37.219,1:16.931
2016,10,48,87,10,11,17,4.85,24.1,1:55.462,1:33.076,1:16.760
2016,11,48,81,17,10,17,5.44,33.3,1:53.510,-,1:15.696
2016,12,48,93,14,16,14,5.05,32.3,1:53.883,1:38.159,1:14.980
2016,13,48,89,11,18,10,4.72,32.6,1:53.052,1:35.341,1:14.829
2016,14,47,73,4,11,13,4.25,20.5,1:52.433,1:38.880,1:15.041
2016,15,48,89,15,17,22,5.65,36,1:52.869,1:41.002,1:15.749
2016,16,48,93,16,15,18,5.23,33.3,1:53.015,1:32.416,1:15.654
2016,17,48,87,18,24,12,6.08,48.3,1:52.233,1:34.474,1:15.913
2016,18,48,87,16,12,18,5.49,32.2,1:52.340,1:37.146,1:15.453
2016,19,48,89,19,14,10,5.3,37.1,1:53.388,1:42.400,1:16.281
2016,20,47,86,8,9,15,4.42,19.8,1:53.590,1:36.287,1:17.568
2016,21,48,74,10,12,15,5,29.7,1:54.466,1:39.061,1:15.924
2016,22,48,92,11,13,22,4.96,26.1,1:52.992,1:36.217,1:15.114
2016,23,10,17,4,5,0,5.65,52.9,1:53.010,-,1:16.656
2016,24,32,65,9,15,13,5.38,36.9,1:52.887,-,1:16.557
2016,25,48,51,1,3,6,3,7.8,1:56.272,1:39.633,1:18.270
2016,26,48,95,11,19,24,5.19,31.6,1:52.722,1:34.223,1:16.191
2016,27,48,86,18,12,17,5.51,34.9,1:52.961,1:35.326,1:15.891
2016,28,46,98,17,15,14,5.1,32.7,1:52.594,1:38.076,1:15.217
2016,29,48,89,8,10,16,4.51,20.2,1:54.318,1:36.199,1:16.606
2016,30,48,100,16,23,14,5.36,39,1:54.035,1:36.965,1:15.411
2016,31,48,83,15,13,11,5.24,33.7,1:53.673,1:39.021,1:16.187
2016,32,46,90,10,11,12,4.26,23.3,1:52.960,1:37.994,1:17.041
2016,33,48,82,16,14,14,5.52,36.6,1:52.748,1:32.989,1:15.996
2016,34,48,71,15,9,17,5.7,33.8,1:54.769,-,1:16.414
2016,35,48,84,15,12,10,5.13,32.1,1:53.805,1:36.154,1:14.673
2016,36,48,77,8,12,9,4.36,26,1:51.798,1:37.170,1:15.410
2016,37,48,79,8,11,10,4.48,24.1,1:55.451,1:35.276,1:16.616
2016,38,48,81,13,15,13,5.28,34.6,1:55.319,1:34.374,1:15.278
2016,39,48,85,15,16,12,5.2,36.5,1:52.650,1:33.767,1:15.114
2016,40,39,69,9,11,11,4.71,29,1:53.832,1:36.194,1:16.939
2016,41,48,93,10,11,15,4.56,22.6,1:54.562,1:36.118,1:16.186
2016,42,41,83,16,14,14,5.43,36.1,1:53.316,-,1:15.606
2016,43,48,85,25,10,17,6.12,41.2,1:53.306,-,1:15.730
2016,44,48,81,12,13,15,5.11,30.9,1:54.318,1:39.184,1:15.336
2016,45,48,78,23,16,12,6.4,50,1:53.051,-,1:14.931
2016,46,48,92,18,18,10,5.51,39.1,1:53.689,1:34.444,1:15.264
2016,47,45,46,5,3,8,3.91,17.4,1:54.773,1:38.256,1:18.041
2016,48,46,63,7,10,9,4.6,27,1:54.268,1:38.527,1:16.352
2016,49,48,75,21,21,13,6.77,56,1:51.502,1:36.224,1:17.094
2016,50,48,59,9,10,11,5.19,32.2,1:52.400,1:38.744,1:15.749
2016,51,43,77,17,10,13,5.3,35.1,1:53.384,-,1:15.809
2016,52,48,92,20,14,28,6.15,37,1:54.457,1:33.871,1:15.035
2016,53,48,92,7,19,14,4.48,28.3,1:53.767,1:35.870,1:16.086
2016,54,46,82,12,11,11,4.8,28,1:51.694,1:39.508,1:16.219
2016,55,45,96,17,22,16,5.64,40.6,1:54.830,1:38.615,1:15.709
2016,56,47,86,19,12,18,5.7,36,1:51.869,1:33.707,1:14.930
2016,57,48,75,9,15,12,4.88,32,1:53.808,1:37.509,1:15.731
2016,58,48,94,9,11,22,4.65,21.3,1:54.060,1:38.144,1:15.731
2016,59,28,56,20,8,9,6.45,50,1:49.612,-,1:13.618
2016,60,42,86,7,18,14,4.72,29.1,1:56.394,-,1:16.043
2016,61,48,94,13,21,14,5.11,36.2,1:52.192,1:37.386,1:14.768
2016,62,47,95,16,18,18,5.37,35.8,1:52.724,1:38.029,1:14.036
2016,63,48,81,4,13,17,4.15,21,1:53.591,1:39.558,1:16.532
2016,64,39,80,8,17,17,4.98,31.3,1:54.255,1:37.732,1:16.225
2016,65,48,87,10,16,15,4.82,29.9,1:54.042,1:35.729,1:16.627
2016,66,48,69,8,9,9,4.23,24.6,1:54.032,1:37.624,1:16.192
2016,67,46,66,8,13,11,5.15,31.8,1:52.429,1:37.541,1:15.188
2016,68,48,87,20,16,13,5.62,41.4,1:50.997,1:34.645,1:16.641
2016,69,48,86,13,12,15,5.02,29.1,1:53.355,1:38.086,1:15.012
2016,70,46,69,11,7,13,4.71,26.1,1:52.560,1:35.867,1:16.693
2016,71,45,85,11,18,14,5.11,34.1,1:54.685,1:34.508,1:16.054
2016,72,48,94,15,12,17,4.89,28.7,1:51.230,1:34.936,1:14.635
2016,73,48,87,18,22,15,6.03,46,1:53.325,1:35.972,1:14.145
2016,74,47,96,21,20,19,5.86,42.7,1:54.149,1:33.604,1:14.075
2016,75,47,93,21,14,13,5.42,37.6,1:52.275,1:35.197,1:14.925
2016,76,48,96,19,16,11,5.35,36.5,1:53.606,1:36.018,1:14.722
2016,77,48,86,5,12,15,4.15,19.8,1:53.369,1:36.983,1:16.624
2016,78,47,69,15,13,9,5.64,40.6,1:53.605,1:35.931,1:16.046
2016,79,48,87,4,11,18,4.15,17.2,1:54.370,1:36.028,1:17.013
2016,80,48,90,23,18,12,6.06,45.6,1:52.328,1:34.922,1:17.028
2016,81,48,82,22,21,7,6.15,52.4,1:53.984,-,1:15.217
2016,82,45,98,20,17,17,5.51,37.8,1:52.675,1:34.571,1:14.495
2016,83,48,81,17,10,14,5.27,33.3,1:52.737,1:36.732,1:14.729
2016,84,48,73,12,17,15,5.75,39.7,1:53.946,1:40.807,1:16.146
2016,85,48,58,11,11,8,5.34,37.9,1:53.775,-,1:16.624
2016,86,48,102,19,16,13,5.27,34.3,1:51.602,1:36.518,1:14.653
2016,87,48,69,9,14,9,5.03,33.3,1:53.344,1:36.157,1:15.501
2016,88,48,91,19,12,13,5.33,34.1,1:52.482,1:35.722,1:14.640
2016,89,48,102,26,25,20,6.41,50,1:52.701,1:34.393,1:14.410
2016,90,48,76,9,14,13,5.09,30.3,1:54.441,1:35.213,1:16.545
2016,91,48,87,25,15,18,6.34,46,1:53.379,1:38.648,1:15.836
2016,92,46,98,16,23,16,5.55,39.8,1:51.130,1:36.176,1:16.082
2016,93,41,63,9,8,8,4.56,27,1:53.830,-,1:15.695
2016,94,48,106,18,19,18,5.31,34.9,1:53.457,1:36.158,1:15.448
2016,95,48,89,17,10,15,5.16,30.3,1:51.951,1:34.587,1:16.229
2016,96,48,85,7,15,18,4.61,25.9,1:53.777,1:35.644,1:15.100
2016,97,48,94,17,17,15,5.34,36.2,1:52.104,1:34.828,1:15.721
2016,98,48,81,7,14,12,4.56,25.9,1:54.195,-,1:17.469
2016,99,48,62,3,0,3,2.66,4.8,1:50.516,1:40.367,1:14.317
2016,100,48,83,14,19,9,5.28,39.8,1:52.231,1:36.617,1:14.510
2016,101,48,87,15,14,15,5.17,33.3,1:54.564,1:38.236,1:15.074
2016,102,48,90,8,9,16,4.16,18.9,1:54.045,1:36.895,1:15.133
2016,103,48,98,18,24,15,5.76,42.9,1:53.025,1:37.095,1:15.504
2016,104,48,86,19,17,14,5.8,41.9,1:53.451,1:36.862,1:16.668
2016,105,39,69,7,11,11,4.54,26.1,1:54.317,1:37.389,1:17.761
2016,106,48,91,13,8,24,4.76,23.1,1:53.795,1:34.908,1:14.904
2016,107,48,88,23,14,4,5.53,42,1:52.968,1:37.967,1:15.588
2016,108,48,77,10,14,12,4.82,31.2,1:52.657,1:33.960,1:16.409
2016,109,46,86,18,10,11,5.05,32.6,1:53.218,1:35.085,1:15.461
2016,110,44,85,10,16,13,4.94,30.6,1:53.649,1:37.610,1:15.855
