Year,Motor_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2017,1,45,118,51,34,14,7.76,72,1:53.628,1:34.698,1:14.510
2017,2,39,96,7,13,14,3.93,20.8,1:56.312,1:37.735,1:15.243
2017,3,47,157,20,19,32,4.63,24.8,1:54.122,1:36.524,1:15.967
2017,4,48,169,47,36,27,6.36,49.1,1:53.596,1:34.558,1:15.114
2017,5,39,74,7,7,11,3.96,18.9,1:57.657,1:38.765,1:16.822
2017,6,48,153,16,16,21,4.12,20.9,1:57.858,1:38.527,1:15.217
2017,7,48,150,47,29,29,6.61,50.7,1:54.850,1:33.209,1:15.470
2017,8,47,196,29,41,43,5.66,35.7,1:54.364,1:35.564,1:15.188
2017,10,46,181,23,23,30,4.66,25.4,1:54.812,1:35.337,1:15.453
2017,12,46,156,16,18,20,4.2,21.8,1:55.620,1:36.263,1:16.756
2017,13,17,106,14,19,18,4.92,31.1,1:54.289,1:36.685,1:16.035
2017,14,39,102,8,13,16,4.14,20.6,1:57.563,1:39.201,1:16.264
2017,15,48,179,46,33,30,5.98,44.1,1:53.688,1:34.045,1:15.369
2017,16,48,183,14,30,36,4.56,24,1:53.541,1:35.540,1:14.729
2017,17,48,160,43,37,33,6.65,50,1:54.268,1:34.258,1:14.768
2017,18,48,143,11,18,28,4.36,20.3,1:55.830,1:34.709,1:16.151
2017,19,48,147,45,31,27,6.64,51.7,1:54.024,1:35.495,1:15.313
2017,21,48,182,52,38,28,6.39,49.5,1:53.587,1:32.497,1:15.727
2017,22,27,62,1,7,7,3.4,12.9,2:02.484,1:38.079,1:17.983
2017,23,39,145,20,17,33,4.79,25.5,1:55.995,1:34.223,1:15.654
2017,24,48,188,30,23,24,4.73,28.2,1:54.889,1:35.197,1:14.930
2017,25,27,73,5,8,9,3.79,17.8,1:59.074,1:41.231,1:16.150
2017,26,48,167,11,26,33,4.48,22.2,1:55.928,1:37.983,1:15.731
2017,27,39,92,5,12,13,4.11,18.5,1:57.861,1:36.606,1:15.133
2017,29,48,165,15,26,23,4.39,24.8,1:55.018,1:35.057,1:14.635
2017,30,48,180,22,36,24,4.98,32.2,1:55.783,1:35.182,1:15.750
2017,31,42,113,38,30,21,7.18,60.2,1:55.726,1:34.345,1:15.809
2017,32,48,188,38,31,34,5.59,36.7,1:54.447,1:35.495,1:16.642
2017,33,39,80,5,12,11,3.91,21.3,1:58.210,1:38.208,1:17.060
2017,34,47,182,49,37,31,6.16,47.3,1:52.651,1:33.764,1:15.798
2017,35,48,190,35,33,34,5.44,35.8,1:53.758,1:33.946,1:15.331
2017,36,27,69,1,11,12,3.78,17.4,2:00.532,1:36.518,1:17.146
2017,39,11,66,5,6,9,3.98,16.7,2:03.350,-,1:15.262
2017,42,48,179,39,36,22,5.76,41.9,1:53.990,1:33.523,1:14.904
2017,44,40,110,56,28,9,8.08,76.4,1:53.282,1:34.270,1:14.495
2017,45,48,195,24,29,40,4.91,27.2,1:53.619,1:35.152,1:15.012
2017,46,48,176,40,36,30,5.99,43.2,1:55.036,1:32.712,1:14.347
2017,47,39,140,16,16,22,4.33,22.9,1:57.477,1:35.729,1:14.011
2017,48,48,196,32,38,33,5.35,35.7,1:55.303,1:34.554,1:15.545
2017,51,48,193,39,33,39,5.72,37.3,1:55.348,1:33.059,1:15.442
2017,52,27,70,4,7,10,3.86,15.7,1:58.177,1:36.063,1:15.749
2017,53,48,185,19,36,26,4.84,29.7,1:54.172,1:35.672,1:16.198
2017,54,33,151,41,27,28,6.16,45,1:54.400,1:34.393,1:15.840
2017,55,39,116,9,12,20,4.04,18.1,1:55.544,1:36.933,1:15.041
2017,57,48,190,29,48,38,5.65,40.5,1:54.090,1:33.590,1:14.410
2017,58,48,146,15,18,19,4.2,22.6,1:56.606,1:36.044,1:14.640
2017,60,48,134,9,18,21,4.29,20.1,1:54.870,1:34.604,1:17.109
2017,61,48,171,28,35,29,5.41,36.8,1:54.456,1:34.744,1:15.411
2017,62,39,74,3,12,9,3.97,20.3,1:56.884,1:38.236,1:17.344
2017,64,48,181,22,30,31,4.78,28.7,1:55.812,1:35.463,1:15.721
2017,66,37,109,82,16,5,9.14,89.9,1:51.872,1:32.989,1:14.145
2017,67,39,73,6,8,9,4.07,19.2,1:54.977,1:35.259,1:18.756
2017,68,48,134,11,19,28,4.43,22.4,1:55.751,1:34.936,1:16.054
2017,69,27,57,3,4,8,3.53,12.3,2:02.296,1:41.441,1:17.101
2017,70,48,175,39,32,33,5.99,40.6,1:53.075,1:34.427,1:15.079
2017,71,48,196,26,39,32,5.15,33.2,1:54.970,1:35.390,1:14.840
2017,72,48,180,38,41,33,6.05,43.9,1:53.894,1:33.141,1:15.433
2017,73,27,97,10,7,14,3.72,17.5,2:01.242,1:35.870,1:16.414
2017,76,48,178,26,40,31,5.52,37.1,1:54.867,1:33.863,1:16.281
2017,77,48,170,48,35,39,6.65,48.8,1:52.868,1:33.170,1:14.969
2017,78,48,183,21,33,27,4.77,29.5,1:54.917,1:35.324,1:15.894
2017,80,48,193,42,25,41,5.67,34.7,1:53.978,1:33.073,1:15.997
2017,81,48,166,12,19,35,4.37,18.7,1:56.247,1:35.383,1:16.782
2017,84,48,164,59,32,25,6.8,55.5,1:53.222,1:32.961,1:15.848
