연도,회차,일차,경주번호,번호,등급,기수,선수명,성별,나이,체중,최근6회차_평균착순점,최근6회차_평균득점,최근6회차_승률,최근6회차_연대율2,최근6회차_연대율3,최근6회차_평균ST,최근8경주_착순,연간성적_평균착순점,연간성적_연대율,FL,평균사고점,금일출주경주,전일성적,출주횟수,코스_1코스,코스_2코스,코스_3코스,코스_4코스,코스_5코스,코스_6코스,모터번호,모터_평균착순점,모터_연대율2,모터_연대율3,전탑승선수1,전탑승선수2,보트번호,보트_평균착순점,보트_연대율,특이사항
2017,1,1,1,1,B1,2,한  운,남,44,54,5.33,5.17,0,33.3,66.7,18.81,235,0,0,F0L0,0,12,,3,00.0/0,00.0/0,00.0/0,100.0/1,0.0/2,00.0/0,081,4.44,24.6,36.8,조현귀/243,황이태/43,025,3,7.8,
2017,1,1,1,2,A2,6,김동민,남,39,53,1,0.75,0,0,0,18.89,66,0,0,F0L0,0,08,,2,0.0/1,00.0/0,0.0/1,00.0/0,00.0/0,00.0/0,023,4.92,27.7,50.6,구본수/46,권현기/465,007,6,43.5,
2017,1,1,1,3,A2,1,김국흠,남,46,62,7,6,50,50,50,18.76,41,0,0,F0L0,0,10,,2,0.0/1,00.0/0,100.0/1,00.0/0,00.0/0,00.0/0,010,5.46,33.8,56.3,전정환/555,심상철/413,008,5.85,40,
2017,1,1,1,4,B1,1,조현귀,남,49,61,10,10,100,100,100,18.73,11,0,0,F0L0,0,16,,2,100.0/1,00.0/0,00.0/0,00.0/0,00.0/0,100.0/1,128,5.24,32.6,47.7,송효석/554,박진서/261,085,5.34,37.9,
2017,1,1,1,5,A1,10,임태경,여,29,51,6,5.33,33.3,33.3,66.7,18.61,315,0,0,F0L0,0,11,,3,0.0/1,00.0/0,00.0/0,100.0/1,00.0/0,0.0/1,060,4.28,18.5,37,박석문/443,이지수/442,075,5.42,37.6,
2017,1,1,1,6,B1,7,황이태,남,37,59,5,5,0,0,50,18.78,43,0,0,F0L0,0,13,,2,00.0/0,0.0/1,00.0/0,00.0/0,00.0/0,0.0/1,064,5.03,31.2,49.4,이주영/25,김응선/412,069,5.02,29.1,
2017,1,1,2,1,B1,12,박준현,남,33,57,6,6,0,50,50,18.64,42,0,0,F0L0,0,13,,2,00.0/0,100.0/1,00.0/0,0.0/1,00.0/0,00.0/0,138,4.41,23.3,38.4,윤영일/565,전두식/56,080,6.06,45.6,
2017,1,1,2,2,B2,5,김도환,남,41,61,0,0,0,0,0,0,0,0,0,F0L0,0,11,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,013,4.85,30.9,48.1,박영수/336,김종희/66,044,5.11,30.9,주선보류 후 출전
2017,1,1,2,3,B2,11,기광서,남,33,59,0,0,0,0,0,0,0,0,0,F0L0,0,09,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,088,4.61,25.3,44.3,손지영/55,박석문/34,027,5.51,34.9,주선보류 후 출전
2017,1,1,2,4,A1,2,김종민,남,40,55,9,8.5,50,100,100,18.62,12,0,0,F0L0,0,10,,2,00.0/0,100.0/1,00.0/0,00.0/0,100.0/1,00.0/0,154,5.26,34.1,47.6,반혜진/622,이창규/3125,074,5.86,42.7,
