Year,Boat_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2017,1,42,174,28,25,36,5.24,30.5,1:55.093,1:34.554,1:15.243
2017,2,48,178,39,30,33,5.92,38.8,1:53.087,1:34.270,1:15.372
2017,3,48,191,46,26,26,5.43,37.7,1:54.090,1:33.636,1:15.684
2017,5,48,189,55,36,22,6.07,48.1,1:53.622,1:33.602,1:15.021
2017,6,48,160,39,28,24,5.74,41.9,1:53.688,1:34.224,1:15.532
2017,7,48,196,36,39,43,5.69,38.3,1:53.587,1:34.223,1:14.011
2017,8,48,188,41,39,32,5.73,42.6,1:54.024,1:34.272,1:14.840
2017,9,48,169,27,23,32,5.12,29.6,1:55.964,1:34.469,1:16.931
2017,10,48,192,29,33,43,5.38,32.3,1:54.978,1:33.076,1:15.442
2017,11,48,196,34,30,35,5.22,32.7,1:53.143,1:34.709,1:15.696
2017,12,26,149,21,27,23,5.01,32.2,1:55.285,1:35.840,1:14.980
2017,13,48,167,22,29,24,4.89,30.5,1:55.860,1:34.153,1:14.829
2017,14,48,143,9,28,21,4.36,25.9,1:55.883,1:35.495,1:15.041
2017,15,48,178,28,32,35,5.34,33.7,1:56.728,1:35.324,1:15.749
2017,16,48,199,31,35,43,5.33,33.2,1:54.204,1:32.416,1:15.064
2017,17,48,176,27,47,38,5.96,42,1:55.437,1:34.474,1:14.923
2017,18,48,198,32,27,37,5.17,29.8,1:53.619,1:34.790,1:15.453
2017,19,48,194,39,34,24,5.32,37.6,1:54.662,1:34.364,1:15.926
2017,20,45,144,10,16,22,4.05,18.1,1:53.643,1:35.152,1:17.568
2017,21,48,191,31,25,42,5.08,29.3,1:55.421,1:34.775,1:15.570
2017,22,48,164,28,20,28,5.04,29.3,1:55.572,1:34.502,1:15.114
2017,24,48,158,15,20,28,4.32,22.2,1:56.757,1:33.523,1:16.557
2017,25,45,88,3,4,11,2.99,8,1:59.695,1:37.004,1:17.634
2017,26,47,193,36,44,41,5.75,41.5,1:54.867,1:34.223,1:14.969
2017,27,48,192,43,33,31,5.68,39.6,1:53.658,1:34.188,1:15.824
2017,28,48,193,29,33,32,5.15,32.1,1:55.078,1:35.357,1:15.217
2017,29,45,172,15,21,34,4.48,20.9,1:53.556,1:33.764,1:16.606
2017,30,48,176,35,30,26,5.3,36.9,1:55.892,1:34.594,1:15.411
2017,31,48,195,27,33,34,5.07,30.8,1:54.601,1:33.863,1:15.706
2017,32,47,171,19,25,27,4.45,25.7,1:53.863,1:35.238,1:17.041
2017,33,48,185,35,42,35,5.89,41.6,1:53.468,1:32.989,1:15.953
2017,34,48,177,35,25,30,5.38,33.9,1:53.311,1:35.250,1:15.966
2017,35,48,191,31,30,35,5.29,31.9,1:54.122,1:34.127,1:14.673
2017,36,45,153,14,22,21,4.2,23.5,1:56.172,1:37.122,1:15.410
2017,37,48,161,15,19,32,4.52,21.1,1:54.854,1:35.276,1:15.274
2017,38,48,194,39,38,34,5.74,39.7,1:54.759,1:34.239,1:15.278
2017,39,47,188,31,36,28,5.22,35.6,1:53.990,1:33.767,1:15.114
2017,41,48,201,28,30,34,5,28.9,1:52.871,1:34.258,1:16.186
2017,43,48,189,42,23,33,5.42,34.4,1:53.978,1:33.073,1:15.730
2017,44,3,89,12,15,17,5.04,30.3,1:55.908,1:36.685,1:15.336
2017,45,47,171,43,33,28,6.05,44.4,1:53.159,1:34.088,1:14.931
2017,46,48,206,37,37,24,5.26,35.9,1:53.244,1:34.342,1:15.264
2017,47,48,124,13,15,18,4.2,22.6,1:55.606,1:36.333,1:17.112
2017,48,45,143,11,16,25,4.06,18.9,1:55.419,1:37.742,1:16.352
2017,49,48,138,30,34,19,5.91,46.4,1:54.324,1:35.743,1:17.094
2017,50,48,141,15,26,24,4.78,29.1,1:54.775,1:35.987,1:15.749
2017,51,17,116,19,18,21,5.09,31.9,1:54.764,1:35.366,1:15.809
2017,52,48,185,37,28,44,5.77,35.1,1:53.984,1:33.871,1:15.035
2017,53,35,168,19,27,29,4.68,27.4,1:53.788,1:33.946,1:16.086
2017,54,48,175,20,27,27,4.62,26.9,1:56.417,1:35.102,1:16.219
2017,55,48,199,43,42,29,5.81,42.7,1:52.199,1:33.825,1:15.709
2017,56,47,189,36,32,30,5.38,36,1:53.908,1:33.707,1:14.930
2017,57,48,172,22,33,24,4.81,32,1:55.846,1:34.194,1:15.731
2017,58,46,183,30,27,35,5.16,31.1,1:53.159,1:34.383,1:15.731
2017,59,48,121,28,23,20,5.83,42.1,1:54.980,1:35.572,1:13.618
2017,60,48,199,33,31,32,5.01,32.2,1:54.840,1:34.176,1:15.196
2017,61,48,179,25,35,21,4.85,33.5,1:54.940,1:34.848,1:14.768
2017,62,48,188,39,27,41,5.54,35.1,1:55.622,1:34.611,1:14.036
2017,63,45,143,6,18,31,4.03,16.8,1:55.841,1:37.102,1:16.532
2017,65,48,179,24,27,34,4.92,28.5,1:55.303,1:34.750,1:15.350
