Year,Boat_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2021,1,48,59,13,7,11,5.39,33.9,-,1:31.827,1:13.386
2021,2,48,48,6,4,9,4.4,20.8,-,1:32.482,1:14.948
2021,3,47,59,7,11,10,5.08,30.5,-,1:32.565,1:14.746
2021,4,48,52,7,9,6,4.46,30.8,-,1:31.965,1:14.372
2021,5,48,57,12,11,8,5.4,40.4,-,1:32.597,1:14.165
2021,6,48,43,7,11,4,5.51,41.9,-,1:33.591,1:13.543
2021,7,48,60,7,9,10,4.65,26.7,-,1:33.277,1:13.410
2021,8,48,44,5,12,6,5.25,38.6,-,1:32.136,1:13.616
2021,9,47,43,10,8,7,6.19,41.9,-,1:31.784,1:13.706
2021,10,48,59,9,5,17,5.12,23.7,-,1:32.507,1:13.757
2021,11,48,37,8,8,5,5.97,43.2,-,1:30.495,1:14.095
2021,12,46,57,13,15,10,6.32,49.1,-,1:32.983,1:12.886
2021,13,48,50,14,9,4,5.76,46,-,1:30.759,1:13.630
2021,14,48,61,6,8,11,4.64,23,-,1:33.786,1:13.714
2021,15,48,53,6,5,11,4.45,20.8,-,1:31.465,1:14.261
2021,16,48,45,5,8,5,4.56,28.9,-,1:32.315,1:14.226
2021,17,48,45,6,7,13,5.64,28.9,-,1:32.730,1:13.383
2021,18,48,49,10,8,11,5.63,36.7,-,1:33.185,1:14.072
2021,19,48,43,7,4,4,4.26,25.6,-,1:30.887,1:13.828
2021,20,48,53,14,5,10,5.43,35.8,-,1:31.331,1:13.256
2021,21,48,50,12,8,9,5.74,40,-,1:32.316,1:12.849
2021,22,47,57,8,12,8,5.11,35.1,-,1:33.373,1:14.529
2021,23,48,60,4,8,14,4.32,20,-,1:33.330,1:14.235
2021,24,47,48,3,11,9,4.42,29.2,-,1:32.546,1:14.624
2021,25,48,55,10,10,10,5.31,36.4,-,1:30.757,1:13.479
2021,26,48,38,10,6,6,5.79,42.1,-,1:32.953,1:13.741
2021,27,46,44,9,13,7,6.07,50,-,1:31.474,1:13.730
2021,28,47,37,7,5,10,5.46,32.4,-,1:34.449,1:14.033
