Year,Motor_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2024,1,21,241,56,58,40,6.17,47.3,-,1:31.455,1:12.367
2024,2,21,335,67,54,62,5.45,36.1,-,1:29.985,1:12.617
2024,3,21,275,34,44,39,4.63,28.4,-,1:31.846,1:13.042
2024,5,21,341,42,57,55,4.84,29,-,1:31.178,1:12.259
2024,7,21,336,82,60,60,5.84,42.3,-,1:29.916,1:12.109
2024,12,18,278,27,34,51,4.39,21.9,-,1:31.241,1:13.354
2024,14,21,297,80,57,48,6.11,46.1,-,1:30.302,1:11.965
2024,15,21,218,57,41,46,6.26,45,-,1:30.881,1:12.334
2024,16,20,237,22,32,35,4.21,22.8,-,1:32.572,1:12.510
2024,17,3,299,43,42,62,5.02,28.4,-,1:31.921,1:12.969
2024,20,21,253,52,48,46,5.68,39.5,-,1:31.095,1:12.392
2024,21,21,304,81,41,61,5.96,40.1,-,1:30.126,1:12.359
2024,24,21,310,74,71,40,5.98,46.8,-,1:29.512,1:12.338
2024,25,21,346,65,60,64,5.52,36.1,-,1:30.202,1:12.314
2024,26,21,294,67,58,47,5.7,42.5,-,1:31.192,1:12.302
2024,27,21,282,46,47,46,5.09,33,-,1:30.613,1:12.910
2024,28,21,357,64,65,58,5.35,36.1,-,1:30.837,1:12.219
2024,29,16,158,14,22,18,3.98,22.8,-,1:33.183,1:12.999
2024,30,20,276,59,49,46,5.66,39.1,-,1:30.858,1:11.989
2024,31,18,199,55,45,29,6.35,50.3,-,1:29.615,1:12.222
2024,33,19,328,41,62,43,4.8,31.4,-,1:29.993,1:12.550
2024,35,21,317,35,49,50,4.64,26.5,-,1:31.173,1:13.306
2024,36,21,316,57,51,55,5.26,34.2,-,1:30.036,1:12.440
2024,40,2,257,46,42,35,5.05,34.2,-,1:29.785,1:12.393
2024,42,21,311,43,49,44,4.76,29.6,-,1:32.170,1:12.904
2024,44,21,281,37,44,42,4.7,28.8,-,1:31.707,1:12.637
2024,46,21,348,60,54,68,5.22,32.8,-,1:30.265,1:12.465
2024,47,21,304,57,45,47,5.16,33.6,-,1:31.212,1:12.773
2024,48,21,345,44,69,54,5,32.8,-,1:30.388,1:12.400
2024,49,21,323,36,54,50,4.63,27.9,-,1:30.548,1:12.625
2024,51,21,326,43,43,59,4.68,26.4,-,1:31.266,1:12.180
2024,52,21,348,65,66,60,5.51,37.6,-,1:30.363,1:13.006
2024,53,21,332,64,61,55,5.45,37.7,-,1:30.876,1:12.662
2024,54,21,299,37,47,53,4.82,28.1,-,1:32.203,1:12.781
2024,56,20,142,13,16,24,4.2,20.4,-,1:32.965,1:13.311
2024,59,21,320,37,52,42,4.57,27.8,-,1:31.722,1:12.359
2024,60,21,337,52,53,60,5.04,31.2,-,1:30.794,1:12.756
2024,62,21,330,34,52,55,4.65,26.1,-,1:31.549,1:12.316
2024,65,19,338,55,52,64,5.11,31.7,-,1:31.091,1:11.841
2024,66,21,332,53,53,58,5.13,31.9,-,1:30.669,1:12.693
2024,68,21,351,59,58,62,5.19,33.3,-,1:30.203,1:12.459
2024,70,21,346,46,58,59,4.96,30.1,-,1:31.388,1:12.564
2024,71,21,269,64,59,46,6.07,45.7,-,1:29.666,1:12.210
2024,74,21,217,61,46,26,6.22,49.3,-,1:30.287,1:11.968
2024,75,2,292,41,39,53,4.73,27.4,-,1:30.600,1:13.329
2024,76,21,271,37,45,45,4.86,30.3,-,1:29.764,1:12.586
2024,77,21,254,57,47,57,6.05,40.9,-,1:31.463,1:12.698
2024,78,21,207,55,34,38,6.19,43,-,1:30.874,1:12.753
2024,79,21,296,59,51,61,5.75,37.2,-,1:29.413,1:12.381
2024,80,21,343,72,61,68,5.8,38.8,-,1:30.657,1:12.641
2024,82,21,361,43,52,61,4.74,26.3,-,1:31.038,1:12.849
2024,84,21,343,71,61,39,5.32,38.5,-,1:30.066,1:12.541
2024,85,21,338,65,61,52,5.4,37.3,-,1:30.768,1:12.661
2024,86,21,207,46,47,31,5.99,44.9,-,1:30.515,1:12.211
2024,87,21,359,56,62,68,5.17,32.9,-,1:31.199,1:12.534
2024,88,21,335,35,56,47,4.62,27.2,-,1:32.358,1:12.649
2024,89,21,204,59,42,35,6.37,49.5,-,1:30.382,1:12.004
2024,90,21,340,60,48,60,5.06,31.8,-,1:31.581,1:12.770
2024,91,21,179,11,24,35,4.28,19.6,-,1:33.418,1:13.502
2024,92,21,309,63,62,48,5.58,40.5,-,1:31.010,1:12.402
2024,93,20,295,45,29,54,4.62,25.1,-,1:31.822,1:12.256
2024,94,21,312,43,46,47,4.81,28.5,-,1:31.452,1:13.150
2024,95,21,252,29,38,44,4.61,26.6,-,1:31.059,1:12.916
2024,96,21,279,44,34,41,4.76,28,-,1:30.916,1:13.101
2024,97,12,293,47,44,67,5.26,31.1,-,1:30.954,1:11.750
2024,98,21,203,61,45,32,6.64,52.2,-,1:30.757,1:12.321
2024,101,21,225,47,26,39,5.11,32.4,-,1:31.199,1:12.181
2024,104,21,177,19,29,22,4.51,27.1,-,1:32.268,1:12.797
2024,105,21,352,45,56,52,4.83,28.7,-,1:31.146,1:12.830
2024,106,21,281,64,53,42,5.81,41.6,-,1:30.906,1:12.501
2024,110,21,342,45,60,49,4.83,30.7,-,1:32.082,1:12.811
2024,113,16,165,13,21,23,3.94,20.6,-,1:34.234,1:12.866
2024,115,21,347,50,60,59,5,31.7,-,1:30.013,1:12.552
2024,116,21,347,72,45,72,5.41,33.7,-,1:29.983,1:12.576
2024,117,21,253,22,48,45,4.64,27.7,-,1:30.495,1:12.611
2024,118,21,347,55,72,53,5.33,36.6,-,1:30.965,1:12.695
2024,120,21,196,21,31,30,4.62,26.5,-,1:30.747,1:12.687
2024,121,20,162,18,17,23,3.98,21.6,-,1:32.315,1:13.222
2024,124,21,348,57,72,58,5.37,37.1,-,1:31.361,1:12.474
2024,129,20,179,20,18,35,4.31,21.2,-,1:31.316,1:12.969
2024,131,21,354,54,56,66,5.12,31.1,-,1:30.134,1:11.826
2024,132,21,336,58,59,50,5.15,34.8,-,1:31.394,1:12.565
2024,134,21,337,81,54,61,5.83,40.1,-,1:29.898,1:12.280
2024,136,21,219,31,29,33,4.69,27.4,-,1:32.163,1:13.054
2024,137,19,306,37,46,47,4.55,27.1,-,1:32.152,1:12.816
2024,138,20,325,58,57,47,5.23,35.4,-,1:30.247,1:11.941
2024,141,21,339,41,59,49,4.64,29.5,-,1:31.479,1:13.293
2024,142,19,331,61,59,61,5.47,36.3,-,1:30.748,1:12.816
2024,143,21,302,64,56,52,5.76,39.7,-,1:30.610,1:12.305
2024,144,21,207,55,49,36,6.41,50.2,-,1:32.120,1:11.955
2024,147,21,196,47,38,45,6.18,43.4,-,1:30.962,1:12.366
2024,148,21,335,64,57,61,5.43,36.1,-,1:29.836,1:12.536
2024,149,21,358,49,63,59,4.92,31.3,-,1:31.457,1:12.957
2024,150,17,339,43,49,54,4.8,27.1,-,1:32.124,1:12.971
